AREA,DEPENDENCY DIMENSION,CURRENT EU STATUS,DEPENDENCY LEVEL (1-5),KEY VULNERABILITY,CHIPS ACT 2.0 MEASURE,COMPLEMENTARY CADA MEASURE,ESTIMATED INVESTMENT,TIMELINE,KEY EU PLAYERS,KEY NON-EU DEPENDENCIES,RISK IF UNADDRESSED,REFERENCE / SOURCE

CLOUD,Cloud Infrastructure Market Share,"EU providers hold ~15% of EU cloud market; US hyperscalers (AWS, Azure, GCP) hold ~70%",5 - Critical,"Structural lock-in to non-EU platforms; US providers invest ~EUR 10bn/quarter in EU capex, outpacing local competition","Demand Accelerators for EU-designed chips used in cloud infrastructure; innovation procurement mandating EU-designed silicon in public cloud","Cloud Sovereignty Framework with 4 SEAL levels; mandatory sovereignty risk assessments for public-sector procurement; tripling EU data centre capacity by 2035",EUR 200bn for cloud/AI data centres (mostly private),2026-2035,"OVHcloud, Scaleway, STACKIT, Deutsche Telekom/T-Systems, SAP, Post Telecom","AWS, Microsoft Azure, Google Cloud",EU loses ability to control data residency and processing; extraterritorial legal exposure under US CLOUD Act and FISA 702,Synergy Research Group 2025; COM(2026) 503 final

CLOUD,Cloud Sovereignty & Data Control,"80%+ of EU digital products/services/infrastructure relies on non-EU providers; EU awarded EUR 180m sovereign cloud tender (Apr 2026)",4 - High,"Extraterritorial data access risk under non-EU jurisdiction; limited EU control over cloud software stacks, APIs, and operational management","Strategic Projects designation for semiconductor facilities serving sovereign cloud use cases; B2B Supply Chain Platform for chip supply visibility","4-tier sovereignty assurance (SEAL-1 to SEAL-4); SEAL-4 requires exclusive EU control, EU-only data processing, open APIs; obligation for public-sector sovereignty risk assessments",Included in EUR 200bn cloud/AI investment envelope,CADA adoption targeted Q2 2027,"Proximus/S3NS (Thales-Google JV), CleverCloud, Clarence, Mistral AI","US hyperscaler software stacks, VMware (Broadcom), Kubernetes ecosystem",Public-sector data exposed to foreign intelligence access; inability to ensure digital sovereignty for critical government functions,EC sovereign cloud tender IP/26/833; Cloud Sovereignty Framework document

CLOUD,Cloud Hardware Supply Chain,"EU cloud providers rely almost entirely on non-EU server hardware (Intel/AMD CPUs, NVIDIA GPUs); no EU-based leading-edge logic foundry",5 - Critical,"Complete dependency on US-designed processors and Asian fabrication; server motherboard/PCB supply concentrated in Asia","First-of-a-Kind facility support extended to PCBs, packaging, and assembly; EU open foundry for 3nm-and-below manufacturing (pilot 2030-2033); Chips Fund for semiconductor startups","CADA strategic data centre projects must demonstrate innovation and sustainability; R&D funding of ~EUR 2bn over 7 years for next-gen cloud/AI technologies",EUR 120bn total semiconductor investment (EUR 30bn for advanced foundry),Foundry pilot 2030-2033,"ASML (lithography), NXP, Infineon, STMicroelectronics, ARM (UK-based, chip design)","TSMC (fabrication), Samsung (fabrication), Intel (design+fab), NVIDIA (GPU design), AMD (CPU/GPU design)",EU cloud infrastructure permanently dependent on foreign chip designers and fabricators; supply disruption risk from geopolitical tensions (Taiwan Strait),COM(2026) 503 final; EE Times analysis June 2026

AI DATACENTERS,Data Centre Capacity,"EU FLAP-D colocation at 3.6 GW (doubled since 2019); vacancy compressing to 6.5% by end-2026; Ireland data centres consume 22% of national metered electricity",4 - High,"Insufficient capacity for AI workload growth; energy constraints are now the binding bottleneck (not chips or capital); uneven geographic distribution across member states","Demand Accelerators linking chip production to data centre build-out; synergies with AI Factories and Gigafactories as anchor demand for EU-made chips","CADA aims to triple EU data centre capacity in 5-7 years (by 2031-2033); streamlined permitting framework; strategic project designation for innovative/sustainable facilities",EUR 200bn for cloud/AI data centres,Triple capacity by 2031-2033,"Equinix, Digital Realty (US-headquartered but EU-operating), European colocation operators, national telecoms","US hyperscalers drive most new builds; US-designed chips power virtually all AI racks","EU unable to meet exploding AI compute demand; AI development migrates to US/Asia; competitive disadvantage for EU enterprises and researchers",EU AI Infrastructure Report 2026 (alicelabs.ai); CBRE forecasts; CSO Ireland data

AI DATACENTERS,AI Accelerator / GPU Dependency,"EU has no domestic high-performance AI GPU at scale; NVIDIA holds >80% AI accelerator market; EU AI chip startups (e.g. Axelera, SiPearl, Tenstorrent EU) are pre-scale",5 - Critical,"Total dependency on NVIDIA/AMD for AI training and inference accelerators; US export controls can restrict access; EU AI chip startups lack volume manufacturing access","Grand Challenges for AI chip development; public innovation procurement to validate EU AI silicon in data centre racks; preferential treatment of domestic AI silicon in sovereign cloud/defence procurement","CADA AI Gigafactory programme (min. 75,000 advanced AI accelerators per facility); R&D funding for full-stack AI solutions with competitive performance-per-watt",Part of EUR 120bn semiconductor envelope + EUR 200bn data centre envelope,AI Gigafactory call expected Jul 2026; foundry 2030-2033,"Axelera AI (Netherlands), SiPearl (France), Graphcore (UK), Tenstorrent (EU operations)","NVIDIA (H100/B200/GB200), AMD (MI300/MI400), Google (TPU), Broadcom (custom ASICs)",EU AI sovereignty structurally impossible without domestic accelerator production; geopolitical leverage point for US/Asia,EE Times June 2026; COM(2026) 503 final; Akin Gump analysis

AI DATACENTERS,AI Chip Design Ecosystem,"EU produces <10% of global semiconductors; virtually no EU-designed leading-edge AI chips; design tools (EDA) dominated by US firms (Synopsys, Cadence, Siemens EDA)",5 - Critical,"Dependency on US EDA software for all chip design; lack of EU-based fabless AI chip companies at scale; advanced node PDKs controlled by non-EU foundries","Chips for Europe Initiative 2.0: cloud-based design platform for EU designers; pilot line industrialisation; competence centres; Chips Fund for startups/scaleups/SMEs","CADA supports open-source AI model development and deployment, creating downstream demand for EU-designed inference chips",Part of Chips for Europe Initiative budget,Design platform operational progressively; Chips Fund ongoing,"Imec (Belgium, R&D), Fraunhofer (Germany, R&D), CEA-Leti (France, R&D), European EDA startups","Synopsys, Cadence, Siemens EDA (US/German), ARM (UK/Japan), TSMC/Samsung (PDKs and process nodes)",EU permanently relegated to chip consumer rather than designer; innovation captured outside EU; brain drain of semiconductor talent,COM(2026) 503 final; Chips for Europe Initiative documentation

AI DATACENTERS,Advanced Packaging & Integration,"EU lacks production-scale advanced packaging (chiplet integration, 3D stacking, heterogeneous integration); identified as most significant near-term structural gap for AI",5 - Critical,"Chiplet/3D packaging essential for modern AI chips; capacity concentrated in TSMC (CoWoS), ASE, Amkor (Asia); EU has no equivalent facility","First-of-a-Kind support explicitly expanded to advanced packaging and assembly; EU foundry will combine leading-edge nodes with chiplet integration and 3D packaging","CADA strategic projects may include packaging facilities co-located with data centres",Part of EUR 30bn advanced foundry allocation,Integrated into 2030-2033 foundry timeline,"Imec (packaging R&D), ASML, various EU OSAT concepts","TSMC CoWoS, ASE Group, Amkor Technology (all Asia-based)",AI chip performance constrained by packaging bottleneck; EU foundry output unusable for modern AI workloads without domestic packaging,EE Times June 2026; COM(2026) 503 final

