Company,Product / Service,Category,Role (Front-end / Back-end),Supported protocols,Key partners,Stage (2026),Notable details,Token consumption (tier),Announced,Source ID
Visa,Intelligent Commerce Connect (ICC),Network platform for agent payments,Front-end (rails consumed by external AI agents),"Visa Trusted Agent Protocol; supports MPP, ACP, UCP","AWS, Aldar, Firmly, Nekuda, Fiserv",Launched Apr-2026,Tokenises card numbers; verifies agent obeys consumer instructions; routes across networks,N/A (infrastructure; tokens consumed by partner LLMs),Apr-2026,S16
Mastercard,Agent Suite (Agent Pay + Verifiable Intent),Agent payments platform & dispute framework,Front-end (powers AI checkout) + Back-end (dispute audit),Open agent framework,"Fiserv (US merchant integration), 4,000+ advisors",Launched Q2-2026,"Cryptographic audit trail linking identity, instructions, outcome; integrated with Fiserv merchant base",N/A (infra) + Low for Verifiable Intent reasoning,Jan-2026 (suite); Q2-2026 (Agent Pay),S16
American Express,Agentic Commerce Experiences (ACE) developer kit,Issuer SDK + Agent Purchase Protection,Front-end (issuer rails for external AI agents),Industry-standard tokens,AI platform partners (unnamed),Launched Apr-2026,"Five components: agent registration, account enablement, purchase intent, tokenised credentials, cart context. Adds purchase protection if agent errs",N/A (infra; tokens spent on partner platforms),Apr-2026,S17
PayPal,Agent Ready + Store Sync,Acceptance + product feed for AI surfaces,Front-end (merchants reachable from ChatGPT/Copilot/etc.),"OpenAI ACP, Google UCP, Agent Payments Protocol","OpenAI, Google, Perplexity, Microsoft Copilot, Wix, Cymbio, Shopware",Live Oct-2025,MCP servers since Apr-2025; gives PP merchants instant agentic acceptance with fraud + buyer protection,Low (MCP server traffic; tokens external),Oct-2025,S18
Stripe,Agentic Commerce Suite,"Acceptance, checkout, agentic payments tokens",Front-end (rails for external agents like ChatGPT),Agentic Commerce Protocol (ACP); MPP,"OpenAI (co-author of ACP), URBN, Etsy, Coach, Kate Spade, Wix, BigCommerce",Beta 2025-2026,Shared Payment Tokens reduce fraud; modular product discovery + checkout APIs,N/A (infra),2025 (beta); 2026 GA in progress,S19
Fiserv,Agentic commerce integration,Merchant processing + KYA,Front-end (acceptance for AI agents),Mastercard Agent Pay framework; Visa Trusted Agent Protocol,"Mastercard, Visa",Live Mar-2026,Routes AI-initiated transactions through standard card-processing infrastructure,N/A (infra),Mar-2026,S20
Adyen,Universal Token Vault + Merchant Control Framework,Bank-grade tokenisation for AI agents; merchant guardrails,Front-end (merchant-facing) + Back-end (merchant guardrails),"Google UCP, AP2, Visa Trusted Agent Protocol","Google, Visa; Agentic AI Foundation member",Live (joined foundation Dec-2025),Tokenisation cost claimed -30%; framework keeps merchants in control of relationship/data,N/A (infra) + Low for control-framework reasoning,Dec-2025 → 2026,S21
FIS,Agentic commerce issuing platform,Issuing-side enablement for AI-agent payments,Back-end (issuer enablement) + Front-end (auth flows),"Visa Trusted Agent Protocol, Mastercard Agent Pay","Mastercard, Visa",GA end Q1-2026,"Adds KYA + agent-aware authorisation, fraud, dispute frameworks for issuing banks",N/A (infra),Jan-2026,S22
Synchrony,Synchrony Agent + Agentic Commerce team,Issuer experimentation in agentic shopping,Front-end (consumer-facing marketplace agent),"Multi-protocol; partners with Visa, Mastercard, Google","Visa, Mastercard, Google, top retailers",Pilot,Redesigning loyalty & financing to be AI-readable; running own marketplace agent,Low (pilot scale),2026,S23
Block (Square / Cash App),Agentic merchant tooling (early),Acquiring + consumer wallet,Both (potential),Industry protocols (early integration),n/a public,Exploration,Bernstein names Block among fintechs positioned for agentic-commerce upside; specific shipping product not yet public,N/D,2026,S24
