Year,Capex_Bn,YoY_Growth_Pct,Revenue_Bn,Capex_Revenue_Pct,Notes
2018,13.7,,136.0,10.1,Pre-AI era baseline
2019,15.1,10.2,70.7,21.4,Steady growth
2020,15.1,0.0,86.0,17.6,Flat COVID year
2021,19.2,27.2,117.9,16.3,Post-COVID rebound
2022,31.4,63.5,116.6,26.9,Metaverse pivot; data center expansion
2023,28.1,-10.5,134.9,20.8,Year of Efficiency; capex moderation
2024,39.2,39.5,164.5,23.8,AI pivot begins; GPU procurement ramp
2025,72.2,84.2,201.0,35.9,Massive AI buildout; includes finance lease payments
2026E,125.0,,240.0,52.1,Midpoint of $115-135B guidance
2027E,165.0,,280.0,58.9,Estimated; continued ramp to $600B cumulative
2028E,155.0,,320.0,48.4,Estimated; approaching $600B cumulative target
