SECTION,METRIC,VALUE,NOTES

HEADLINE STATISTICS,,
,EU share of global semiconductor production,~10%,"Down from historic highs; virtually no leading-edge AI chips"
,EU cloud market share held by EU providers,~15%,"Stable since 2022; down from 29% in 2017"
,US hyperscaler share of EU cloud market,~70%,"AWS + Azure + GCP combined"
,EU dependency on chip imports,78% of EUR 55bn consumption (2024),"EUR 43.6bn imported from third countries"
,AI components share of semiconductor market by 2030,>70%,"AI logic chips CAGR 18-29% (2023-2030)"
,Total investment needed for tech sovereignty,EUR 320bn over 10 years,"EUR 120bn semiconductors + EUR 200bn cloud/AI + EUR 20bn energy AI"
,Advanced foundry investment,EUR 30bn,"For first EU 3nm-and-below open foundry"
,EU data centre capacity target,Triple current capacity by 2031-2033,"Currently 3.6 GW FLAP-D colocation"
,EuroHPC infrastructure,"14 supercomputers, 19 AI Factories, 10 quantum systems","EUR 7bn budget"

DEPENDENCY HEAT MAP BY AREA,,
,Cloud - Infrastructure Market Share,5 - Critical,"US dominance structurally entrenched; EUR 10bn/quarter US capex in EU"
,Cloud - Sovereignty & Data Control,4 - High,"CADA SEAL framework proposed but not yet law; EUR 180m sovereign cloud tender awarded"
,Cloud - Hardware Supply Chain,5 - Critical,"No EU-designed server processors or AI GPUs at scale"
,AI Datacenters - Capacity,4 - High,"Energy is binding constraint; Ireland at 22% electricity consumption"
,AI Datacenters - GPU/Accelerator,5 - Critical,"NVIDIA >80% market; EU has only pre-scale startups"
,AI Datacenters - Chip Design Ecosystem,5 - Critical,"US EDA tools (Synopsys/Cadence) monopoly; no scaled EU fabless AI companies"
,AI Datacenters - Advanced Packaging,5 - Critical,"Most significant near-term structural gap; TSMC CoWoS dominance"
,LLMs - Training Compute,4 - High,"EU AI labs train on US cloud; Gigafactory programme aims to close gap"
,LLMs - Inference Chips,4 - High,"EU has emerging low-power strengths but no scaled inference accelerator"
,LLMs - Software/Model Sovereignty,3 - Moderate,"Mistral AI is bright spot; but US models dominate enterprise deployment"
,LLMs - Memory & Interconnect,5 - Critical,"HBM monopoly (SK Hynix/Samsung/Micron); NVLink/InfiniBand (NVIDIA)"
,Quantum - Chip Development,2 - Moderate,"Strong R&D with 6 pilot lines; lab-to-fab gap remains"
,Quantum - Photonics,3 - Moderate,"PIXEurope telecom-focused; quantum needs visible/UV range expansion"
,Quantum - Enabling Electronics,3 - Moderate,"Chips JU EUR 20m call addresses gap; Bluefors (Finland) is global cryogenics leader"
,Quantum - Hybrid Infrastructure,3 - Moderate,"EuroHPC integrating quantum; but cloud access via US platforms"
