Source ID,Publisher,Title,URL,Accessed
S1,CeFPro / The Digital Banker / aibmag.com / emerj,JPMorgan LLM Suite & agentic AI rollout coverage,https://connect.cefpro.com/article/view/inside-jpmorgan-llm-suite-as-ai-agents-spread-across-the-bank,2026-04-17
S2,American Banker / Fortune / BofA Newsroom / CIO,Bank of America Erica + AskGPS coverage,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2025/09/bofa-s-new-genai-assistant-transforms-global-payments-solutions.html,2026-04-17
S3,Citi / FinancialIT / The Register / pymnts / CIO Dive,Citi Stylus Workspaces with agentic AI,https://www.citigroup.com/global/news/press-release/2025/citi-unveils-citi-stylus-workspaces-agentic-ai-turbocharging-productivity,2026-04-17
S4,Economic Times / FinancialContent / Bankers' Magazine / Observer,"Goldman Sachs GS AI Assistant, Devin, Anthropic deployment",https://m.economictimes.com/tech/artificial-intelligence/goldman-sachs-launches-ai-assistant-firmwide-memo-shows/articleshow/122031424.cms,2026-04-17
S5,Morgan Stanley / OpenAI / Nasdaq / CNBC,AI @ Morgan Stanley Assistant + Debrief,https://www.morganstanley.com/press-releases/ai-at-morgan-stanley-debrief-launch,2026-04-17
S6,Wells Fargo / Google Cloud / National Mortgage News / American Banker,Wells Fargo Fargo + Agentspace deployment,https://cloud.google.com/blog/topics/financial-services/wells-fargo-agentic-ai-agentspace-empowering-workers,2026-04-17
S7,Stack-ai / Barclays Private Bank / Barclays.com,HSBC and Barclays agentic AI deployment notes,https://privatebank.barclays.com/insights/ai-outlook-2026-11-2025/agentic-ai-a-little-less-conversation-a-little-more-action-pleas/,2026-04-17
S8,UBS / Yahoo Finance / Stack-ai,UBS & Deutsche Bank agentic AI strategy,https://www.ubs.com/global/en/careers/about-us/stories/2025/agentic-ai.html,2026-04-17
S9,The Asian Banker / FStech / National Technology,"Lloyds, NatWest, Santander agentic AI plans 2026",https://www.theasianbanker.com/press-releases/lloyds-scales-genai-and-agentic-ai-targets-127m-in-value-creation-for-2026,2026-04-17
S10,OpenAI / opentools.ai,BBVA + OpenAI ChatGPT Enterprise rollout,https://openai.com/index/bbva-collaboration-expansion/,2026-04-17
S11,Computer Weekly / FStech / Dutch IT Leaders,ING agentic AI mortgages and voice agents,https://www.computerweekly.com/news/366626743/ING-Bank-transforming-operations-through-agentic-AI,2026-04-17
S12,DBS / Computer Weekly / Business Times / Yahoo Finance,"DBS Bank agentic AI (DBS Joy, CodeBuddy)",https://www.dbs.com/artificial-intelligence-machine-learning/artificial-intelligence/agentic-ai-is-here-are-we-ready-to-govern-it.html,2026-04-17
S13,Cedar Report / Newswire / Fintech.ca / RBCCM,"Canadian banks agentic AI (RBC, TD, Scotia, BMO, CIBC)",https://www.cedarreport.com/guides/how-canadian-banks-are-using-ai-in-2026-rbc-td-bmo-and-more,2026-04-17
S14,The Financial Brand / Capital One / TechCrunch / NVIDIA On-Demand,Capital One Chat Concierge + agentic AI,https://thefinancialbrand.com/news/banking-products/capital-ones-chat-concierge-puts-agentic-ai-on-car-dealers-websites-187128,2026-04-17
S15,Truist IR / PNC / American Banker / FinancialContent,"Truist receivables, PNC working capital, US Bank developer assistant",https://ir.truist.com/2026-02-03-Truist-launches-AI-enabled-receivables-platform-to-accelerate-cash-application-and-minimize-exceptions,2026-04-17
S16,TheLetterTwo / Digital Commerce 360 / American Banker / ClearingPost / adwaitx,"Visa Intelligent Commerce Connect, Mastercard Agent Suite/Pay",https://thelettertwo.com/2026/04/08/visa-wants-to-be-the-payment-rail-for-the-agentic-economy,2026-04-17
S17,Digital Commerce 360 / Fortune,American Express ACE developer kit + Agent Purchase Protection,https://www.digitalcommerce360.com/2026/04/14/american-express-agentic-commerce-developer-kit-purchase-protection/,2026-04-17
S18,PayPal Newsroom / PayPal Tech Blog / PayPal.ai,"PayPal Agent Ready, Store Sync, MCP servers",https://newsroom.paypal-corp.com/2025-10-28-PayPal-Launches-Agentic-Commerce-Services-to-Power-AI-Driven-Shopping,2026-04-17
