Vendor,HQ country,Market share Q2 2024,Revenue growth YoY,Note
Palo Alto Networks,USA,9.7%,+11.2%,Leader; Prisma/Cortex/SASE
Fortinet,USA,7.0%,+11.1%,SecOps + SASE pivot
Microsoft,USA,6.1%,+18.6%,Defender/Sentinel/Entra via E5
Cisco,USA,5.8%,+5.3%,Excl. Splunk
CrowdStrike,USA,4.5%,+33.2%,Falcon platform; fastest grower
Okta,USA,3.6%,+16.6%,Identity
Check Point,Israel,3.5%,+6.7%,Network security
Zscaler,USA,3.0%,+31.3%,SSE/SASE
Symantec (Broadcom),USA,2.7%,+3.2%,Legacy enterprise
IBM,USA,2.5%,+2.5%,QRadar sold to Palo Alto
Trellix,USA,2.4%,+2.1%,McAfee/FireEye merger
Splunk (Cisco),USA,2.4%,+13.5%,Security analytics
Others,Mixed,46.8%,+6.9%,Long tail incl. EU vendors
