AREA,SUB-SEGMENT,GLOBAL MARKET SIZE 2025 (USD bn),GLOBAL MARKET SIZE 2035E (USD bn),EU MARKET SIZE 2025 (USD bn),EU MARKET SIZE 2035E (USD bn),EU AS % OF GLOBAL (2025),EU AS % OF GLOBAL (2035E),EU REVENUE CAPTURED BY EU-HQ COMPANIES (USD bn 2025),EU REVENUE CAPTURED BY NON-EU COMPANIES (USD bn 2025),% CAPTURED BY EU COMPANIES,% CAPTURED BY NON-EU COMPANIES,KEY EU COMPANIES (Revenue 2025),KEY NON-EU COMPANIES (Share of EU Market),BASE CASE GROWTH EXPECTATIONS THROUGH 2035,WHAT EU NEEDS TO DO FOR SELF-RELIANCE BY 2035,SOURCE / NOTES

SEMICONDUCTORS,Total Semiconductor Market,791.7,1280.0,54.5,130.0,6.9%,10.2%,16.0,38.5,29%,71%,"Infineon (EUR14.7bn global), NXP ($12.3bn global), STMicro ($11.8bn global); combined EU-market share ~30%","Intel, TSMC, Samsung, Qualcomm, Broadcom, Texas Instruments supply ~70% of EU chip consumption","Global market grows at ~5-7% CAGR to $1.1-1.4T by 2035. AI logic and memory drive >60% of revenue growth. EU share of global production rises from ~10% to 15-20% if Chips Act 2.0 targets are met. Automotive and power electronics remain EU strength segments, growing at 8-9% CAGR.","EU must operationalise the 3nm open foundry by 2033 and ramp to volume by 2035. Must reach 20% global production share (Chips Act target). Requires EUR 120bn mobilisation on schedule, coordinated demand from AI Gigafactories and CADA. Must build integrated design-to-packaging capability rather than isolated fab capacity. Workforce gap of 30-50K must be closed through competence centres and immigration reform.","SIA/WSTS 2025 actuals; Precedence Research 2035 forecast ($1,277bn); Expert Market Research ($1,413bn); EU share assumes Chips Act 2.0 targets partially met"

SEMICONDUCTORS,AI Chips (Logic + AI Memory),200.0,750.0,5.0,75.0,2.5%,10.0%,0.0,5.0,0%,100%,No scaled EU AI chip company; Axelera AI and SiPearl are pre-scale (<$50M combined),"NVIDIA ($130bn+ DC rev), AMD ($10bn+), Google/AWS/Meta custom silicon ($15bn+); 100% of EU AI chip supply","AI chips grow at 14-18% CAGR to $600-1,000bn by 2035, becoming ~55-60% of total semiconductor market. Inference chips overtake training chips by revenue (~65% of AI chip spend by 2035). Custom ASICs grow fastest as hyperscalers verticalise. EU consumption grows 10x as AI Gigafactories and data centres scale up.","EU must develop at least 2-3 scaled AI chip design companies (current startups Axelera, SiPearl must reach >$1bn revenue each). Requires Grand Challenges funding, preferential public procurement, and guaranteed manufacturing access at EU foundry. Must build EU-based EDA toolchain or secure long-term strategic partnership with EDA vendors. Target: 15-20% of EU AI chip consumption sourced from EU-designed chips by 2035.","Research & Markets ($1T AI accelerator chips by 2035); SNS Insider ($746bn); Deloitte 2026 Outlook; inference shift per Silicon Analysts"

SEMICONDUCTORS,Semiconductor Equipment,110.0,220.0,38.0,85.0,34.5%,38.6%,36.0,2.0,95%,5%,"ASML (EUR32.7bn / ~$35.5bn global rev); Zeiss, BESI, ASM Intl (~$2.5bn combined EU rev)","Applied Materials, Lam Research, Tokyo Electron, KLA, Screen (~$2bn EU-origin rev)","Equipment market grows at ~7% CAGR to ~$220bn by 2035. EUV and High-NA EUV demand accelerates as sub-3nm nodes proliferate. ASML revenue target $44-60bn by 2030. Advanced packaging equipment segment grows fastest at 12-15% CAGR. EU maintains dominant position through ASML monopoly.","EU must maintain and extend ASML's technological lead (High-NA EUV and beyond). Must develop EU-based capabilities in etch, deposition, and inspection to reduce dependence on Applied Materials/Lam Research/TEL. Should invest in advanced packaging equipment (currently Asia-dominated). Must manage export control alignment with allies carefully to preserve commercial viability while protecting security interests.","ASML Annual Report 2025 (2030 target $44-60bn); industry growth estimates; EU maintains ~35% global equipment revenue share"

SEMICONDUCTORS,Power / Automotive / Industrial Chips,95.0,200.0,28.0,65.0,29.5%,32.5%,16.8,11.2,60%,40%,"Infineon (~$10bn EU auto/industrial), NXP (~$5bn EU), STMicro (~$4bn EU); ~60% of EU segment","Texas Instruments, ON Semi, Renesas, Microchip; ~40% of EU power/auto segment","Segment grows at ~7-9% CAGR to ~$200bn by 2035, driven by EV penetration reaching 60-70% of new EU car sales, industrial automation, and energy transition (smart grids, renewables). SiC and GaN wide-bandgap semiconductors grow at 20%+ CAGR. EU strengthens position as global automotive chip leader.","EU must defend and extend leadership in automotive/power chips. Requires continued investment in SiC/GaN fab capacity (Infineon, STMicro expanding). Must capture AI-in-vehicle chip opportunity (edge inference for autonomous driving). Should leverage automotive OEM relationships to create demand pull for EU-designed chips. Ensure raw material supply (SiC substrates, gallium) via Critical Raw Materials Act diversification.","Company annual reports; EU automotive chip share grows as EV adoption accelerates; SiC/GaN CAGR from industry consensus"

SEMICONDUCTORS,High Bandwidth Memory (HBM),28.0,150.0,1.5,15.0,5.4%,10.0%,0.0,1.5,0%,100%,No EU HBM producer,"SK Hynix (~50% global), Samsung (~40%), Micron (~10%); 100% of EU HBM is imported","HBM market grows at ~18-20% CAGR to $120-180bn by 2035 as AI training/inference scales. HBM4 and HBM5 generations increase bandwidth and capacity. Memory becomes bottleneck for AI compute scaling. EU consumption grows 10x with AI Gigafactory buildout but remains 100% import-dependent without intervention.","EU must establish domestic memory R&D and pilot production capability. Could pursue strategic partnership with one major memory manufacturer (SK Hynix, Samsung, or Micron) for EU-based HBM packaging facility. Should fund advanced memory research through Chips for Europe Initiative. Minimum viable goal: EU-based HBM packaging/testing by 2032, capturing 10-15% of EU HBM consumption. Full domestic production is unrealistic by 2035.","Deloitte; industry estimates; HBM CAGR from memory market analysis; EU consumption scales with AI Gigafactories"
