#,Source,Used for,URL
1,MarketsandMarkets — Europe Cybersecurity Market,"Market size, segments, EU vendors",https://www.marketsandmarkets.com/Market-Reports/europe-cybersecurity-market-156644743.html
2,Mordor Intelligence — Europe Cybersecurity / Enterprise Firewall,"Market size, firewall, countries",https://www.mordorintelligence.com/industry-reports/europe-cybersecurity-market
3,IMARC Group — Europe Cybersecurity Market,"Market size, country & component split",https://www.imarcgroup.com/europe-cybersecurity-market
4,The Insight Partners — Europe Cybersecurity Market,"Market size, type/component split",https://www.theinsightpartners.com/reports/europe-cybersecurity-market
5,Fortune Business Insights — Cybersecurity Market,"Europe share, country values",https://www.fortunebusinessinsights.com/industry-reports/cyber-security-market-101165
6,Dimension Market Research — Europe Cybersecurity,Deployment & component split,https://dimensionmarketresearch.com/report/europe-cybersecurity-market/
7,Market Research Future — Europe Cybersecurity,Solution & security-type leaders,https://www.marketresearchfuture.com/reports/europe-cybersecurity-market-46043
8,Omdia (via Informa) — Network Security Market Q4 2024,Network-security vendor shares,https://omdia.tech.informa.com/pr/2025/mar/network-security-market-grows-5point1-percent-yearoveryear-in-q4-2024-omdia-reports
9,Industryresearch.co — Enterprise Firewall Market,"Firewall shares, Europe %",https://www.industryresearch.co/market-reports/enterprise-firewall-market-308811
10,IDC — European Network Security Market Shares 2024,EU network-security vendors,https://my.idc.com/getdoc.jsp?containerId=EUR152829325
11,Security MEA / Omdia — Cybersecurity spending Q2 2024,Global vendor shares,https://securitymea.com/2024/09/26/platform-adoption-boosts-cybersecurity-spending-to-us21-1-billion-in-q2-2024/
12,Thales — 2024 Full-Year Results,Thales revenue & Cyber & Digital segment,https://www.thalesgroup.com/en/group/investors
13,ESET — Annual Report 2024,ESET revenue,https://www.eset.com/us/about/newsroom/company/eset-2024-annual-report-profit-and-revenue-growth-continues-rd-investment-delivers-strong-returns/
14,WithSecure — Restated 2024 financials,WithSecure revenue,https://www.globenewswire.com/news-release/2025/04/22/3065294/0/en/WithSecure-publishes-restated-2024-financial-information-for-segments.html
15,European Commission — Digital Europe Programme,Sovereignty funding (total),https://commission.europa.eu/funding-and-tenders/find-funding/eu-funding-programmes/digital-europe-programme_en
16,EUR-Lex — Regulation (EU) 2021/694 (amended 2025/38),Cybersecurity & Trust budget,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=legissum:4526703
17,ECCC / EC — EUR 1.3 bn Digital Europe work programmes,Cyber work-programme funding,https://ec.europa.eu/newsroom/ECCC/items/781679/
18,Bertelsmann Stiftung — EuroStack (2025),EUR 300 bn sovereign-tech proposal,https://www.bertelsmann-stiftung.de/fileadmin/files/user_upload/EuroStack__2025_final.pdf
19,CEPS — A bold proposal to build the EuroStack,Sovereign Technology Fund,https://www.ceps.eu/a-bold-proposal-to-build-the-eurostack-because-doing-nothing-isnt-an-option-anymore/
20,Politico — Push for EuroStack,"Investment-size debate, InvestAI",https://www.politico.eu/article/push-for-eurostack-as-eu-us-tech-tensions-grow/
21,ENISA — NIS Investments 2025 / What's Driving Cyber Investments,"Skills gap, spend levels",https://www.enisa.europa.eu/news/whats-driving-cybersecurity-investments-and-where-lie-the-challenges
22,ENISA — 2024 Report on State of Cybersecurity in the Union,"Skills Academy, policy",https://www.enisa.europa.eu/publications/2024-report-on-the-state-of-the-cybersecurity-in-the-union
