Date,Event,Amount_Bn,Counterparty,Category,Cumulative_Context
2024,Full year capex,39.2,Internal,Owned Capex,First year of AI-driven capex acceleration
Sep 2025,Oracle AI cloud deal reported,20.0,Oracle,Third-Party Cloud,GPU capacity for AI model training
Oct 2025,CoreWeave GPU cloud contract signed,14.2,CoreWeave,Neocloud,Through 2031 with option to 2032
Oct 2025,Blue Owl Hyperion financing closed,30.0,Blue Owl Capital,Off-Balance-Sheet,SPV structure; Meta retains 20% ownership
Nov 2025,Nebius Phase 1 AI infra deal,3.0,Nebius,Neocloud,Initial capacity agreement
2025,Google Cloud compute arrangement,10.0,Google Cloud,Third-Party Cloud,Multi-year compute contract
2025,Full year capex,72.2,Internal,Owned Capex,Includes finance lease payments
Jan 2026,Q4 2025 earnings: 2026 capex guidance,125.0,Internal,Owned Capex,Midpoint of $115-135B guidance
Feb 2026,Lebanon IN campus groundbreaking,10.0,Internal,Data Center,Meta largest single investment
Mar 2026,Nebius Phase 2 expanded to $27B total,27.0,Nebius,Neocloud,$12B guaranteed + $15B option over 5 years
Early 2027,Nebius dedicated capacity delivery begins,,Nebius,Neocloud,Part of $12B guaranteed commitment
2028-2029,Hyperion Louisiana full buildout,10.0,Internal / Blue Owl,Data Center,5 GW compute capacity
2028,El Paso campus 1 GW target,1.5,Internal,Data Center,Closed-loop liquid cooling
2028,Cumulative $600B capex milestone,600.0,Internal,Owned Capex,Total 2024-2028 cumulative target
2031,CoreWeave contract expiry,14.2,CoreWeave,Neocloud,Option extends to 2032
2031,Nebius optional capacity expires,15.0,Nebius,Neocloud,Up to $15B additional capacity
