Indicator / Index,Publisher,Ticker / ID,Type,What it measures,Unit,Blend ratio (in:out / cache),Aggregation method,Weighting,Model scope,Coverage,Update frequency,History from,Access,Data source,URL
LLM Token Expenditure Index,Silicon Data,SDLLMTK,Index,Usage/expenditure-weighted average realized cost-to-serve of LLM inference; a gauge of marginal willingness-to-pay (frontier vs open-weight migration),USD per 1M tokens (normalized blended rate),"Normalized for input/output mix, context window, batching, reliability",Usage/expenditure-weighted blended reading,Weighted by where usage is concentrated and sustained,Frontier API + open-weight + brokered dedicated-instance + self-hosted,"400+ models tracked, 20+ in daily basket, 20+ price/volume sources (~90%+ of global LLM inference spend)",Daily (every trading day),2025-12-01 (API min date),Paid (Portal subscription / Token Index API; 7-day trial),Proprietary multi-source observations,https://www.silicondata.com/products/silicon-index/llm-token-expenditure-index
Token Marketpulse,Silicon Data,-,Tracker,"Per-model pricing, adoption and momentum across the LLM market (Cost, Adoption, Momentum panels)",USD per 1M tokens (8 normalized metrics),Normalized for apples-to-apples comparison,Per-model (not a single index),n/a (per-model tracker),"Closed, open-weight and open-source models",142+ models,Daily,n/a,Paid (request access),Proprietary multi-source observations,https://www.silicondata.com/products/token-marketpulse
Token Pricebook,Silicon Data,-,Dataset / API,"Standardized model-level input & output token prices plus model metadata (params, context length)","USD per 1M tokens (input & output, separate)",Separate input / output (not blended),Per-model rows,n/a (catalog),open-source / open-weight / closed-source,"Leading developers & models across model-labs, platforms, marketplaces",Daily collection,2025-08 (example rows),Paid (API),"Multi-source: model-lab, model-platform, marketplace",https://docs.silicondata.com/products/token_pricebook
AA Intelligence Index (price series),Artificial Analysis,-,Benchmark + price,Blended price per token reported alongside a composite intelligence benchmark; plus Cost-per-Task for agentic workloads,USD per 1M tokens; also USD per task,7:2:1 cache:input:output (default; adjustable),Arithmetic / per-model; intelligence-band aggregates over time,Per-model; banded by Intelligence Index for trend charts,Proprietary + open-weight (frontier focus),500+ models evaluated,Continuous / per release,Multi-year trend series,Free (web) + paid API/data access,"Provider APIs, live measurements",https://artificialanalysis.ai/trends
LLM Stats Score (with pricing),LLM-Stats,-,Leaderboard + price,"Composite leaderboard blending verified benchmarks, live performance and per-token pricing",USD per 1M tokens (blended) + composite score,Blended price per 1M tokens,Composite weighting of benchmarks + price,Per-model,Proprietary + open-weight,300-321+ canonical models,Pricing/metadata revalidate hourly; perf 7-day rolling,Continuous,Free (web),Provider price lists + LLM Stats proxy billing samples,https://llm-stats.com/
AI Cost Index (Frontier & Budget),MyTokenTracker,-,Index,"Blended price of fixed baskets of models to track token economics over time (Frontier Index, Budget Index)",USD per 1M tokens,3:1 input:output ((3*in + 1*out)/4),Equal-weighted average of basket constituents,"Fixed, named baskets (so series stays comparable)",Proprietary + open-weight (basket-defined),Fixed baskets (Frontier / Budget),Daily,~2026-06 (series grows daily),Free (web + open-data archive),LiteLLM open dataset,https://mytokentracker.io/cost-index
Pulse Inference Token Index,Pulse (pulsebenchmarks.com),-,Index,Posted per-token prices for open-weight inference at commodity hosts; records what the market charges and how the distribution moves,"USD per 1M tokens (median; also P90, min, dispersion)",3:1 input:output (headline); input-only & output-only as peers,Breadth-weighted median across eligible endpoints,Breadth-weighted; per model/quantization/jurisdiction series,Open-weight only (proprietary APIs excluded by design),Per-model series; anchor = Llama 3.3 70B FP8 US,Weekly,v1.0 (provisional),Free (web + /api/indices feed),Commodity-host endpoint posted prices,https://pulsebenchmarks.com/indices/inference-token-index/
Global Compute Price Index (GCPI),GCPI Research,GCPI,Index,"Publicly posted synchronous inference API prices, standardized to a single unit; tracks market price level over time",USD per 1M input tokens (2026-Q2 = 100),Input price only (single standardized unit),Weighted geometric mean of constituents,Weights proxy estimated market share (rebalanced quarterly),Synchronous token-priced inference APIs,"8 providers (Tier S, Llama 3.1 8B); reconstructed 2024-Q3+",Quarterly reconstruction,2024-Q3 (reconstructed),Free (web / research),Public provider price pages + analyst estimates,https://globalcomputeindex.org/
AI CPI & Budget Index,AIscending (llm-pricing-index),-,Index / open dataset,Cost pressure index (weighted avg cost) and Budget Index (efficiency vs frontier price ratio) across tracked models,"USD per 1M tokens (prompt, completion, blended)",75% input / 25% output (blended),AI CPI: avg over frontier+reasoning; Budget: efficiency+open source,Category baskets (Frontier/Efficiency/Reasoning/Open Source),Proprietary + open-source,"22 models, 4 categories",Monthly (1st of month),2026-04,Free (open data: JSON/CSV on GitHub),OpenRouter API (/api/v1/models),https://github.com/AIscending/llm-pricing-index
LLMRates pricing tracker,LLMRates,-,Tracker / API,Multi-source verified token pricing with full history and real-time change feed,USD per 1M tokens (input & output),Separate input / output,Per-model; 2-source agreement before publishing,"Source-reconciled, confidence-scored",Proprietary + open-weight,"~2,330 models, 6 sources, <60s latency",Daily to every 6h (per source); <60s change feed,Live (with trust metadata),Freemium API,"OpenAI, Anthropic, Google, OpenRouter, LiteLLM, Hugging Face",https://llmrates.live/
BenchGecko llm-pricing,BenchGecko,-,Open dataset,Canonical standardized pricing for 300+ models in one JSON file,USD per 1M tokens (input & output),Separate input / output,Per-model catalog,n/a (catalog),Proprietary + open-weight,346 models,Weekly,git history,Free (open data: JSON / npm),OpenRouter API,https://github.com/BenchGecko/llm-pricing
OpenRouter model pricing,OpenRouter,-,Source feed,Aggregated pass-through per-token pricing across providers; the de-facto upstream source for many indices,USD per 1M tokens (input & output),Separate input / output,Per-model pass-through,n/a (catalog),Proprietary + open-weight,300-400+ models,Continuous,Live,Free (public API),Provider APIs,https://openrouter.ai/api/v1/models
LiteLLM model price map,LiteLLM (BerriAI),-,Open dataset,Open JSON map of per-token prices + context windows used as an upstream source by several indices,USD per 1M tokens (input & output),Separate input / output,Per-model catalog,n/a (catalog),Proprietary + open-weight,Hundreds of models,Continuous (community-maintained),git history,Free (open data),Provider docs / community,https://github.com/BerriAI/litellm
