Item,Amount,Period,Type,Source
Digital Europe Programme — total budget,EUR 7.59 bn (amended ~8.2 bn),2021-2027,Committed (EU),European Commission / EUR-Lex
Digital Europe — 'Cybersecurity & Trust' objective,EUR 1.372 bn,2021-2027,Committed (EU),"EUR-Lex (Reg 2021/694, amended 2025/38)"
Digital Europe — 2023-24 cybersecurity work programme,EUR 375 m,2023-2024,Committed (EU),ECCC / European Commission
ECCC multiannual work programmes (all digital),EUR 1.284 bn,2023-2024,Committed (EU),European Commission
EuroStack — European Sovereign Technology Fund,EUR 300 bn,10 years,Proposal,Bertelsmann Stiftung / CEPS / EuroStack
EuroStack — initial demonstrator tranche,EUR 10 bn,Initial,Proposal,Bertelsmann Stiftung / CEPS
EuroStack — alternative full-cost estimate,> EUR 5 trillion,n/a,Critique,Chamber of Progress (via Politico)
InvestAI — AI hardware mobilization (related stack layer),EUR 200 bn,2025+,Mobilization target,European Commission (via Politico)
AI gigafactory sites investment (related),Up to EUR 2 bn,2024+,Committed,European Commission (via Politico)
Draghi report — overall EU investment gap (all sectors),~EUR 800 bn / year,Annual,Diagnosis (not cyber-only),Draghi Competitiveness Report 2024
