Company,Ticker,Listing,Subsector,Region,Approx. Market Cap ($B),Recent IPO/Listing,IPO/Listing Date,Notes / Thesis
GDS Holdings,GDS / 9698.HK,Nasdaq / HKEX,Data Center - Colocation,China,6.7,No,2016-11 (Nasdaq),Carrier-neutral hyperscale colo leader in China; AI-driven wholesale demand; DayOne overseas spin.
VNET Group (21Vianet),VNET,Nasdaq,Data Center - Colocation,China,2.4,No,2011-04,Carrier-neutral IDC; wholesale (Hyperscale 2.0) growth + retail; REIT/asset monetization optionality.
Equinix,EQIX,Nasdaq,Data Center - REIT,Global/US,75.0,No,2000-08,Largest global interconnection/colo REIT; xScale hyperscale JV; AI inference footprint.
Digital Realty Trust,DLR,NYSE,Data Center - REIT,Global/US,55.0,No,2004-11,Global wholesale + interconnection (PlatformDIGITAL); large hyperscale backlog.
Iron Mountain,IRM,NYSE,Data Center - REIT,Global/US,30.0,No,1996-02,Records/storage pivoting to fast-growing data center (ALM + colo) business.
CoreWeave,CRWV,Nasdaq,Data Center - AI Neocloud,US,45.0,Yes,2025-03,GPU cloud specialist; large hyperscaler backlog (~$99B); 'between the models and the silicon'.
Nebius Group,NBIS,Nasdaq,Data Center - AI Neocloud,Europe/US,51.0,Yes,2024-10 (relisting),AI-focused cloud spun out of Yandex; hyperscale AI capacity; ~684% YoY revenue growth.
IREN Limited,IREN,Nasdaq,Data Center - AI Neocloud,Australia/US,15.0,No,2021-11,Vertically integrated AI datacenter/HPC (ex-bitcoin miner) with owned power sites.
Applied Digital,APLD,Nasdaq,Data Center - AI Neocloud,US,6.0,No,2022-04,HPC/AI datacenter developer leasing capacity to hyperscalers/neoclouds.
Vertiv Holdings,VRT,NYSE,Data Center - Infrastructure,Global/US,50.0,No,2020-02 (SPAC),"Power, thermal (liquid cooling), and rack infrastructure for AI data centers."
Taiwan Semiconductor (TSMC),TSM / 2330.TW,NYSE / TWSE,Semis - Foundry,Taiwan,1200.0,No,1997-10 (ADR),World's leading-edge foundry; CoWoS/advanced packaging bottleneck for AI.
Samsung Electronics,005930.KS,KRX,Semis - Memory/Foundry (IDM),South Korea,450.0,No,1975-06,Memory (DRAM/NAND/HBM) + foundry; HBM ramp key AI catalyst.
SK hynix,000660.KS,KRX,Semis - Memory (IDM),South Korea,800.0,No,1996-12,HBM leadership into AI supercycle; DRAM/NAND; NVIDIA HBM supplier.
Intel,INTC,Nasdaq,Semis - IDM/Foundry,US,120.0,No,1971-10,IDM turnaround; 18A ramp + Intel Foundry; datacenter CPU/AI accelerators.
GlobalFoundries,GFS,Nasdaq,Semis - Foundry,US,25.0,No,2021-10,Specialty (mature-node) foundry; auto/industrial/RF; US/EU capacity.
United Microelectronics (UMC),UMC / 2303.TW,NYSE / TWSE,Semis - Foundry,Taiwan,18.0,No,2000-09 (ADR),Mature/specialty foundry; 22/28nm; US-Japan-Taiwan footprint.
SMIC,0981.HK / 688981.SS,HKEX / STAR,Semis - Foundry,China,80.0,No,2004-03 / 2020-07 (STAR),China's largest foundry; advanced-node localization amid export controls.
Hua Hong Semiconductor,1347.HK / 688347.SS,HKEX / STAR,Semis - Foundry,China,15.0,No,2014-10 / 2023-08 (STAR),China #2 foundry; specialty/mature nodes; power/analog.
NVIDIA,NVDA,Nasdaq,Semis - AI Accelerators,US,4200.0,No,1999-01,Dominant AI GPU/systems + CUDA; primary beneficiary of AI datacenter capex.
Advanced Micro Devices (AMD),AMD,Nasdaq,Semis - CPU/GPU,US,300.0,No,1972 (NYSE),MI-series AI GPUs + EPYC datacenter CPUs; #2 AI accelerator challenger.
Broadcom,AVGO,Nasdaq,Semis - Networking/Custom ASIC,US,1500.0,No,2009-08 (Avago),Custom AI ASIC (XPU) + networking (Tomahawk/Jericho); hyperscaler silicon partner.
Qualcomm,QCOM,Nasdaq,Semis - Fabless,US,180.0,No,1991-12,Mobile/edge SoC leader; auto + datacenter AI inference push.
