Category,Sub-category,Leader,Why leader,Source ID
Coding agents,Autonomous SWE (long-horizon),Cognition (Devin),"First major-bank-scale deployment (Goldman Sachs, 12k engineers); ACU-based pricing; 67% PR merge rate; 25h-class runs documented elsewhere in category.","S4, S40"
Coding agents,IDE-embedded coding agent,Cursor,$2k–$5k/team/month observed agent spend; Sonnet ~$0.09/request default; widely adopted by banks' engineering orgs.,S41
Coding agents,Coding agent CLI / inline,Anthropic (Claude Code),"Long-context, cache-optimised sessions; the de-facto choice for long-horizon back-end runs at finance customers (Brex, Coinbase, Citi via Claude FS).","S20, S39"
Coding agents,Cloud SWE agent (asynchronous),OpenAI (Codex),"GA pricing on gpt-5.2-codex; documented 25h / 13M-token long-horizon runs; native to ChatGPT Enterprise stack used at BBVA, Santander, NatWest.",S42
Coding agents,DevOps / git platform agent,GitHub (Copilot agent mode + Workspace),Most widely distributed coding agent (Free→Enterprise tiers); 1M+ token Workspace context; embedded in Microsoft FS stack.,S43
Coding agents,Frontier-model autonomy benchmark leader,Anthropic Claude Opus 4.6,~14.5h on METR Time-Horizon 1.1 (50% reliability) – longest sustained autonomy in early 2026.,S38
Banking — incumbent rollout,Enterprise productivity at scale,JPMorgan Chase (LLM Suite + 450+ agentic use cases),"230k–250k seat reach; targets 1,000 production agents; 3–6 hr/wk per-user productivity claim; backed by $18B tech budget.",S1
Banking — incumbent rollout,Investment banking agentic ops,Goldman Sachs (Claude Opus + Devin + GS AI Assistant),"Most aggressive front-to-back agentic deployment among bulge brackets: trade accounting, compliance, surveillance, IB pitchbooks, 12k engineers on Devin.","S4, S20"
Banking — incumbent rollout,Consumer agentic banking,Wells Fargo (Fargo + Agentspace) and Bank of America (Erica),"Wells: 215k employees + Gemini-Enterprise consumer agents. BofA: 42M consumer users, ~11k FTE-equivalent throughput.","S2, S6"
Banking — incumbent rollout,Wealth management,Morgan Stanley (AI @ MS Assistant + Debrief),98% advisor-team adoption; ~15k advisors; 1M Zoom calls/yr automated; reference for OpenAI in FS.,S5
Banking — Europe,Most aggressive agentic rollout,ING Bank (agentic mortgage origination + voice agents),"Live agentic mortgages (NL, DE) targeted 2026; €350M cost savings, 1,250 ops job exits projected.",S11
Banking — Europe,Largest enterprise OpenAI deployment,BBVA (ChatGPT Enterprise to 120k staff),10x scale-up in 2025; 20k+ custom GPTs; 83% weekly active in pilot; pairs with Blue customer assistant.,S10
Banking — Asia/EM,Production-grade agentic bank,DBS Bank (DBS Joy + CodeBuddy),S$1B AI-driven economic value FY25; agentic governance via PURE framework.,S12
Banking — Canada,Agentic strategy leader,Royal Bank of Canada (RBC AI Group + Cohere 'North for Banking'),Dedicated AI Group reporting to CEO; targets up to C$1B value by 2027; #3 globally for FS AI maturity per coverage.,S13
Payments — networks,Agentic commerce platform leader,Visa (Intelligent Commerce Connect),"Apr-2026 launch; supports four protocols (Visa TAP, MPP, ACP, UCP); positioned as neutral payment rail for agents.",S16
Payments — networks,Agentic commerce framework leader,"Mastercard (Agent Suite, Agent Pay, Verifiable Intent)",Q2-2026 launch; cryptographic dispute trail; integrated with Fiserv US merchant base.,S16
Payments — issuers,Agentic issuer SDK,American Express (ACE developer kit + Agent Purchase Protection),Apr-2026 launch; first issuer to add explicit purchase protection for agent errors.,S17
Payments — wallets / acceptance,Agentic checkout reach,PayPal (Agent Ready + Store Sync),"Live Oct-2025; instantly enables tens of millions of merchants across OpenAI, Google, Microsoft Copilot, Perplexity.",S18
Payments — acquiring infra,Open agentic checkout protocol,Stripe (Agentic Commerce Suite + ACP with OpenAI),Co-author of ACP; powers ChatGPT Instant Checkout; Shared Payment Tokens reduce fraud.,S19
Payments — processors,Agentic merchant processing,Fiserv,Routes Mastercard Agent Pay through millions of US merchants; also integrated with Visa Trusted Agent Protocol.,S20
Payments — issuing tech,Agentic core for banks,FIS (agentic commerce issuing platform),"First issuer-side enablement: KYA + agent-aware auth, fraud, dispute frameworks; partnered with Visa + Mastercard.",S22
FS — neobanks / fintech,Agentic consumer assistant,Revolut (AIR),"Apr-2026 launch to 13M UK customers; spending, investing, subscriptions, card controls, travel — single multimodal agent.",S26
FS — neobanks / fintech,Agentic customer service at scale,Klarna + Nubank (OpenAI),"Klarna: 700-FTE-equivalent at peak, even after 2026 partial reversal. Nubank: 55% L1 resolution, -70% chat response time, covers 114M+ customers.","S25, S26"
FS — neobanks / fintech,Agentic finance ops (B2B),Brex + Ramp,"Brex: Anthropic-powered expense / audit agents. Ramp: 99% OCR, 2.4x faster invoice processing, agentic AP.",S27
FS — vendors,Finance research agents,Hebbia,Clients with $30T AUM; 1.5B pages processed; ~200k prompts/day; deepest finance-specific agent library.,S29
FS — vendors,Compliance / financial-crime agents,Fenergo (FinCrime OS) + Bretton,"Fenergo: 95% of screening hits auto-resolved, up to 18.3k analyst hrs/yr saved. Bretton: 70% EDD queue cut, $5.35M first-year savings.",S30
FS — vendors,Capital-markets agentic blueprint,KX (with NVIDIA),Two GTC-2026 blueprints: Research Assistant + Trading Signal Agent on NVIDIA AI Factory + KX time-series DB.,S31
FS — platforms,Foundation model for FS agents (US/Europe),OpenAI,"Backbone for BBVA, Santander, NatWest assistant, Klarna, Nubank, Morgan Stanley; co-author of ACP for agentic commerce.",S36
FS — platforms,Foundation model for back-office FS agents,Anthropic (Claude for Financial Services),"Goldman Sachs core ops, Citi, Brex, Coinbase; Claude for Excel; finance-specific connectors (S&P, FactSet, Morningstar, LSEG).",S20
FS — platforms,Hyperscaler enterprise agentic platform,Google Cloud (Gemini Enterprise / Agentspace),"Bank-wide rollouts: Wells Fargo (215k staff), HSBC selected workloads; powers Citi Stylus alongside Anthropic.",S34
FS — platforms,CRM-anchored agentic platform,Salesforce (Agentforce for Financial Services),Pre-built advisor / banker / service / collections agents; Atlas Reasoning Engine; large FS install base.,S37
Coding-agent infra,Frontier coding model,"Anthropic Claude (Sonnet/Opus) — chosen by Cursor, Claude Code, Brex, Goldman Sachs",Default model for highest-reliability coding sessions; longest METR autonomy horizon at Opus 4.6.,"S20, S38, S39"
Agentic-payments protocols,Open consumer-checkout standard,Agentic Commerce Protocol (OpenAI + Stripe),"Powers ChatGPT Instant Checkout; adopted by Etsy, Shopify (1M+ merchants), URBN, Coach, Kate Spade, PayPal MCP server.",S36
Agentic-payments protocols,Network-rail standard,Visa Trusted Agent Protocol,"Live in Visa ICC; supported by AWS, Aldar, Firmly, Nekuda, Fiserv, Adyen.",S16
Agentic-payments protocols,Crypto / stablecoin native,x402 (Coinbase + Linux Foundation),"Apr-2026 launch; sub-cent micropayments in stablecoins; backed by Stripe, Cloudflare, AWS, Google, Microsoft, Visa, Mastercard via X402 Foundation.",S32
