company,as_of_date,arr_usd_millions,metric,source_note
OpenAI,2022-12-01,200,Annualized run rate,"~$200M ARR end of 2022 (post-ChatGPT launch); Reuters / The Information"
OpenAI,2023-06-01,1000,Annualized run rate,"~$1B ARR mid-2023; OpenAI public statements"
OpenAI,2023-10-15,1300,Annualized run rate,"$1.3B ARR mid-October 2023; The Information / Reuters"
OpenAI,2023-12-01,1600,Annualized run rate,"$1.6B ARR Dec 2023; FT / Reuters"
OpenAI,2024-02-09,2000,Annualized run rate,"$2B revenue milestone; FT / Reuters Feb 2024"
OpenAI,2024-06-01,3400,Annualized run rate,"$3.4B ARR mid-2024; The Information"
OpenAI,2024-09-01,3600,Annualized run rate (~$300M/mo monthly revenue),"$300M monthly revenue Sept 2024; CNBC / Reuters"
OpenAI,2024-12-01,4000,Annualized run rate,"~$4B ARR end of 2024 ($1B/quarter); company statements"
OpenAI,2025-06-01,10000,Annualized run rate,"$10B ARR June 2025; Observer / The Information"
OpenAI,2025-08-01,12000,Trailing revenue,"$12B revenue first 7 months of 2025 (~$1.7B/mo); The Information"
OpenAI,2025-11-03,13000,Annualized run rate,"Altman: 'well more than $13B' Nov 3 2025; PYMNTS"
OpenAI,2025-12-31,21400,Annualized run rate,"$21.4B ARR end of 2025; The Information"
OpenAI,2026-01-19,20000,Annualized run rate,"CFO Sarah Friar: crossed $20B in 2025; Reuters"
OpenAI,2026-03-05,25000,Annualized run rate,"$25B ARR Feb/early Mar 2026; The Information / Reuters"
OpenAI,2026-04-01,24000,Monthly revenue annualized ($2B/mo),"$2B/month = $24B run-rate at $122B raise; CoinDesk / OpenAI"
Anthropic,2023-09-01,100,Annualized run rate,"$100M ARR Sep 2023"
Anthropic,2023-12-01,300,Annualized run rate,"~$300M ARR end of 2023 (estimate from public reporting)"
Anthropic,2024-12-01,1000,Annualized run rate,"$1B ARR Dec 2024; SaaStr / Reuters"
Anthropic,2025-03-01,1400,Annualized run rate,"~$1.4B ARR Q1 2025"
Anthropic,2025-07-01,4000,Annualized run rate,"$4B ARR July 2025"
Anthropic,2025-08-01,5000,Annualized run rate,"$5B+ ARR Aug 2025; Reuters"
Anthropic,2025-12-01,9000,Annualized run rate,"~$9B ARR end of 2025; Reuters / Sacra"
Anthropic,2026-02-01,14000,Annualized run rate,"$14B ARR Feb 2026; SaaStr"
Anthropic,2026-03-01,19000,Annualized run rate,"~$19B ARR Mar 2026; The Information"
Anthropic,2026-04-01,30000,Annualized run rate (gross-recorded),"~$30B ARR Apr 2026; Sherwood / Bloomberg. Note: Anthropic books gross customer payment, OpenAI books net of cloud share"
Harvey,2023-04-01,3,Annualized run rate (estimate),"Series A close Apr 2023; ARR small (low single-digit $M)"
Harvey,2023-12-01,10,Annualized run rate (estimate),"~$10M ARR end of 2023 per Sacra implied math (19.5x to 2025)"
Harvey,2024-12-01,50,Annualized run rate,"$50M ARR end of 2024 (235 customers, 42 countries)"
Harvey,2025-06-01,75,Annualized run rate,"$75M ARR June 2025; Sacra"
Harvey,2025-08-01,100,Annualized run rate,"$100M ARR Aug 2025 (36 months from founding)"
Harvey,2025-11-01,150,Annualized run rate,"$150M ARR Nov 2025; Sacra"
Harvey,2025-12-31,195,Annualized run rate,"$195M ARR end of 2025; Sacra"
Harvey,2026-01-01,190,Annualized run rate,"$190M ARR at $11B valuation Series F"
Harvey,2026-03-01,190,Annualized run rate,"$190M ARR Mar 2026"
Sierra,2024-02-01,0,Annualized run rate,"Sierra launches publicly Feb 2024 (Bret Taylor + Clay Bavor)"
Sierra,2024-10-01,20,Annualized run rate,"~$20M ARR Oct 2024 at $4.5B valuation; Sacra"
Sierra,2025-06-01,50,Annualized run rate (estimate),"interpolated; growth on path to $100M"
Sierra,2025-09-01,80,Annualized run rate (estimate),"interpolated; $350M raise at $10B"
Sierra,2025-11-01,100,Annualized run rate,"$100M ARR Nov 2025 (7 quarters from launch)"
Sierra,2026-01-01,150,Annualized run rate,"$150M ARR Jan 2026 (first $50M quarter)"
Decagon,2023-08-01,1,Annualized run rate (estimate),"~$1M ARR at founding Aug 2023"
Decagon,2024-12-01,10,Annualized run rate,"$10M ARR end of 2024; Sacra"
Decagon,2025-10-01,35,Annualized run rate,"$35M ARR Oct 2025; Sacra (Q3 2025 +3x YoY)"
Decagon,2026-01-28,50,Annualized run rate (estimate),"~$50M ARR estimate at Series D close ($250M at $4.5B)"
Intercom Fin,2023-03-01,1,Annualized run rate,"Fin launches Mar 2023; revenue starts from ~$0"
Intercom Fin,2024-03-01,12,Annualized run rate,"$12M ARR after first year (grew $1M->$12M); Mostly Metrics"
Intercom Fin,2025-03-01,40,Annualized run rate (estimate),"on path to $100M in ~2.5 quarters per Owen McCabe"
Intercom Fin,2025-12-01,100,Annualized run rate,"approaching $100M ARR by end 2025; Intercom / NewsBreak"
Intercom Fin,2026-03-01,150,Annualized run rate (estimate),"~half of Intercom $400M parent ARR per Mostly Metrics"
