Model Family,Model Name,Developer,Country,Category,Total Parameters,Active Parameters,Distilled Sizes Available,RL Method,RL Goal,RL Innovation,Distillation Strategy,Distillation Source,Distillation Targets,Distillation Samples,Post-Training RL Share (Est %),Training Compute (GPU-hours),AIME 2024,MATH-500,MMLU,License,Release Date
DeepSeek,DeepSeek-R1-Zero,DeepSeek,China,Chinese Open-Source,671B,37B,N/A,Pure RL (GRPO) — no SFT,Create reasoning from scratch,First proof that reasoning emerges from RL alone without any supervised fine-tuning,N/A,N/A,N/A,N/A,100,Part of R1 pipeline,N/A,N/A,N/A,MIT,Jan 2025
DeepSeek,DeepSeek-R1,DeepSeek,China,Chinese Open-Source,671B,37B,"1.5B, 7B, 8B, 14B, 32B, 70B",GRPO (cold-start SFT + 2-stage RL + 2-stage SFT),Create reasoning capability,GRPO eliminates critic model reducing compute ~50% vs PPO; multi-stage RL discovers then refines reasoning patterns,Cross-lab distillation into Qwen2.5 and Llama 3.1 base models,DeepSeek-R1 671B,"Qwen2.5-1.5B, Qwen2.5-7B, Llama-3.1-8B, Qwen2.5-14B, Qwen2.5-32B, Qwen2.5-70B",800K curated RL-generated samples,80,~2.8M H800,79.8%,97.3,90.8,MIT,Jan 2025
DeepSeek,DeepSeek-V3,DeepSeek,China,Chinese Open-Source,671B,37B,N/A,SFT + knowledge distillation from R1,Infuse reasoning into general-purpose model,Reasoning capabilities from RL-trained R1 distilled back into general-purpose V3,Reverse distillation from R1 reasoning model,DeepSeek-R1,DeepSeek-V3 (self),N/A,40,2.788M H800,N/A,90.2,88.5,MIT / Model License,Dec 2024
Qwen,QwQ-32B,Alibaba Cloud,China,Chinese Open-Source,32B,32B,N/A,RL-based reasoning (R1-style),Create reasoning at 32B scale,"Proved RL-based reasoning works at smaller parameter counts; 'Embracing the Power of Reinforcement Learning'",N/A,N/A,N/A,N/A,70,Not disclosed,44.0%,~90,~85,Apache 2.0,Mar 2025
Qwen,Qwen3-235B-A22B,Alibaba Cloud,China,Chinese Open-Source,235B,22B,"0.6B, 1.7B, 4B, 8B, 14B, 32B, 30B-A3B",RL for thinking mode + SFT + RLHF + DPO,Create dual-mode reasoning,Seamless thinking/non-thinking mode switching in single model; RL produces reasoning mode,Size-cascade distillation across 7+ model sizes,Qwen3-235B,"Qwen3-32B, Qwen3-14B, Qwen3-8B, Qwen3-4B, Qwen3-1.7B, Qwen3-0.6B, Qwen3-30B-A3B",Not disclosed,60,Not disclosed,N/A,96.2,87.0,Apache 2.0,May 2025
Qwen,Qwen2.5-72B-Instruct,Alibaba Cloud,China,Chinese Open-Source,72B,72B,"0.5B, 1.5B, 3B, 7B, 14B, 32B, 72B",SFT + RLHF (PPO) + DPO,Alignment + capability,Base model for DeepSeek-R1 distilled variants; strong math/code expert models,Size-cascade + cross-lab base,Qwen2.5-72B,"Multiple sizes + used as base for DeepSeek-R1 distilled models",N/A,40,Not disclosed,N/A,80.0,85.3,Apache 2.0,Sep 2024
Kimi,Kimi-K2-Instruct,Moonshot AI,China,Chinese Open-Source,1T,32B,N/A,Large-scale RL for agentic capabilities,Create tool-use and autonomous action capability,RL specifically targets agentic capabilities; trained with MuonClip optimizer at 1T scale,N/A (single model release),N/A,N/A,N/A,75,Not disclosed,69.6%,97.4,89.5,Modified MIT,Jul 2025
MiniMax,MiniMax-M1,MiniMax,China,Chinese Open-Source,456B,45.9B,N/A,CISPO (Clipped Importance Sampling Policy Optimization),Create reasoning across diverse tasks,Novel RL algorithm outperforming GRPO; hybrid lightning-attention enables 25% FLOPs vs R1 at 100K length,N/A (single model release),N/A,N/A,N/A,80,Not disclosed,86.0%,96.8,81.1 (Pro),Custom open-weight,Jun 2025
GLM,GLM-4-9B-Chat,Zhipu AI,China,Chinese Open-Source,9B,9B,N/A,SFT + RLHF,Alignment and tool-calling,Among earliest Chinese open LLMs; tool-calling matches GPT-4 level,N/A,N/A,N/A,N/A,30,Not disclosed,N/A,50.6,72.4,Custom academic/commercial,Jun 2024
Yi,Yi-1.5-34B-Chat,01.AI,China,Chinese Open-Source,34B,34B,"6B, 9B, 34B",SFT + RLHF,Alignment,Strong Chinese-language performance; 3M fine-tuning samples,Size-cascade,Yi-34B,"Yi-6B, Yi-9B",3M fine-tuning samples,25,Not disclosed,N/A,~80 (GSM8K),~76,Apache 2.0,May 2024
