id,publisher,title,url
1,Axis Intelligence,"Cursor AI Statistics 2026: Revenue, Users, Valuation & Market Data",https://axis-intelligence.com/cursor-ai-statistics/
2,Value Add VC,"How Does Cursor Make Money: Subscriptions, Token Pricing, Business Model",https://valueaddvc.com/blog/how-does-cursor-make-money-subscriptions-token-pricing-and-the-business-model-breakdown
3,TickerTrends,"Claude Code Reaches $15.1B in Tracked ARR as Codex Climbs to $8.8B (Aug 10, 2026)",https://blog.tickertrends.io/p/claude-code-vs-openai-codex-arr
4,Enterprise DNA,Claude Code Hits $2.5B ARR in Just 13 Months (Feb 2026 Series G disclosure),https://enterprisedna.co/resources/news/claude-code-25-billion-arr-anthropic-2026/
5,FourWeekMBA,Claude Code Scaled from $1B to $8B Annualized Run-Rate in Six Months (Sacra data),https://fourweekmba.com/ai-claude-code-run-rate-agentic-layer/
6,Forkast / Bloomberg,Anthropic Q2 2026 Revenue ($11.5B) Overtook OpenAI; $65B run-rate end of July 2026,https://forkast.news/anthropics-q2-revenue-overtook-openai-for-the-first-time-and-reached-its-first-positive-operating-income/
7,Axis Intelligence,"GitHub Copilot Statistics 2026: Users, Revenue, Market Share",https://axis-intelligence.com/github-copilot-statistics/
8,Value Add VC,"How Does Cognition Make Money: Devin Pricing, Windsurf, and $492M ARR",https://valueaddvc.com/blog/how-does-cognition-make-money-devin-pricing-windsurf-enterprise-and-the-492m-arr-breakdown
9,Sacra,"Sierra revenue, valuation & funding ($200M ARR May 2026)",https://sacra.com/c/sierra/
10,Value Add VC,How Does Sierra AI Make Money: Outcome-Based Pricing ($15.8B valuation),https://valueaddvc.com/blog/how-does-sierra-ai-make-money-outcome-based-pricing-enterprise-agents-and-the-business-model-breakdown
11,AgentMarketCap,"Vertical Agent Revenue Ranked (Apr 2026): Harvey, Agentforce, Sierra, Genspark",https://agentmarketcap.ai/blog/2026/04/05/vertical-agent-revenue-ranked-harvey-salesforce-iqvia-domain-specific-agents
12,AgentMarketCap,The Verticalization Premium: Harvey and Sierra valuation multiples (Apr 2026),https://agentmarketcap.ai/blog/2026/04/07/vertical-vs-horizontal-ai-agent-valuations-2026
13,Sacra,"Abridge revenue, valuation & funding ($100M ARR May 2025)",https://sacra.com/c/abridge/
