Area,Dependency / chokepoint,Current EU exposure,Why it matters for Chips Act 2.0,Relevant lever(s),Dependency severity,Time horizon,Investment need / estimate,Investment source basis,Investment caveat,Residual risk / watch item,Key evidence / source
Cloud,Reliance on non-EU hyperscale cloud providers,High: Commission states over-reliance on non-EU cloud providers poses a significant risk to digital autonomy and resilience.,Cloud demand is a downstream pull for EU chips; sovereign cloud policy can create procurement demand for EU-based semiconductor and AI infrastructure.,CADA four-level sovereignty framework; public sector adoption; common procurement; Chips Act demand synergies with cloud service providers.,High,Immediate to medium,Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity.,Commission package reporting; CADA; Draghi digital benchmark,"The EUR 200bn figure is shared with AI datacenters because the Commission frames it as data centres dedicated to cloud and AI, not a cloud-only line item.","If public and critical-sector workloads remain on non-EU platforms, EU semiconductor demand signals may be weak or captured by foreign stacks.",CADA policy; Chips policy
Cloud,Cloud software supply chain transparency and lock-in,Medium-high: cloud sovereignty levels require third-country independence and software supply-chain transparency at higher assurance levels.,"Chips sovereignty can be undermined if the cloud control plane, orchestration layer, or service dependencies remain opaque or externally controlled.",CADA levels 2-4; Open Source Strategy; Data Act interoperability/portability complement.,High,Immediate,"Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity. Open-source/digital-stack support is reported around EUR 2bn over seven years, but this is not specific to cloud or LLMs alone.",Commission package reporting; CADA; Draghi digital benchmark; Tech Sovereignty/Open Source Strategy reporting,"The EUR 200bn figure is shared with AI datacenters because the Commission frames it as data centres dedicated to cloud and AI, not a cloud-only line item.",Assurance levels need audit capacity and procurement uptake; open source alternatives need sustainable maintenance and security funding.,CADA policy; Tech sovereignty communication
Cloud,EU data location and infrastructure control,Medium-high: CADA level 1 requires data processed/stored in Union infrastructure; higher levels add ownership/control and third-country interference criteria.,"Creates a market segment where EU-based chips, infrastructure and operations may receive preference in sensitive workloads.",CADA sovereignty assurance framework; public sector risk assessments.,Medium-high,Immediate to medium,Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity.,Commission package reporting; CADA; Draghi digital benchmark,"The EUR 200bn figure is shared with AI datacenters because the Commission frames it as data centres dedicated to cloud and AI, not a cloud-only line item.","Location alone does not remove hardware, firmware, software, or legal-control dependencies.",CADA policy
Cloud,"Cloud networking, optical interconnects, switches and NICs","Medium-high: AI/cloud scale requires high-throughput networking and energy-efficient interconnects, often tied to advanced silicon and packaging.",Datacentre-scale AI depends on interconnect bandwidth and power efficiency as much as accelerator compute.,Chips Act Grand Challenges; support for advanced packaging; strategic projects across equipment/materials/PCBs/assembly.,Medium-high,Medium,"Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",Commission package reporting; CADA; Draghi digital benchmark; Commission package reporting; Chips Act 2.0,"The EUR 200bn figure is shared with AI datacenters because the Commission frames it as data centres dedicated to cloud and AI, not a cloud-only line item. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.","The proposal names broad value-chain support, but specific optical/networking bottlenecks need project selection discipline.",Chips policy; EPRS briefing; EE Times analysis
Cloud,Demand aggregation for European cloud and AI chip suppliers,Medium: Europe has demand but fragmented procurement and limited validation environments for emerging EU AI silicon.,"Without early demand and qualification environments, EU chip startups may fail to scale into cloud/data-centre customers.",Demand Accelerators; innovation procurement; CADA common procurement; AI Factories/Gigafactories as anchor demand.,High,Immediate to medium,Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity.,Commission package reporting; CADA; Draghi digital benchmark,"The EUR 200bn figure is shared with AI datacenters because the Commission frames it as data centres dedicated to cloud and AI, not a cloud-only line item.","Public procurement must balance EU added value with performance, cost, and procurement-law constraints.",Chips policy; CADA policy; EE Times analysis
AI datacenters,Advanced AI accelerators / GPUs,High: Europe remains weak in AI chips and depends on advanced semiconductors designed largely outside Europe and manufactured in Asia.,AI datacentres and gigafactories are the largest near-term demand source for leading-edge compute silicon.,Grand Challenges for AI chips; Demand Accelerators; innovation procurement; AI Gigafactories as demand catalyst; strategic projects.,Critical,Immediate to long,"Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity; EUR 20bn InvestAI facility for up to five AI Gigafactories; indicative EUR 3-5bn per AI Gigafactory. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",AI Continent; EC AI Gigafactories; Council AI Gigafactory document; Commission package reporting; Draghi digital benchmark; Commission package reporting; Chips Act 2.0,"This covers physical compute infrastructure; accelerator supply also depends on the EUR 120bn semiconductor investment need. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.","EU-designed accelerators must overcome performance, software ecosystem, and fabrication constraints before they displace incumbent GPUs.",Chips policy; AI factories; EE Times analysis
AI datacenters,High-bandwidth memory (HBM-class memory),High: frontier AI systems require HBM and advanced memory integration; EU capacity is limited relative to global leaders.,Memory bandwidth is a primary bottleneck for LLM training/inference and high-density datacentre accelerators.,Chips Act Grand Challenges for energy-efficient AI infrastructure; strategic projects and packaging/value-chain support.,Critical,Medium to long,"Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity; EUR 20bn InvestAI facility for up to five AI Gigafactories; indicative EUR 3-5bn per AI Gigafactory. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",AI Continent; EC AI Gigafactories; Council AI Gigafactory document; Commission package reporting; Draghi digital benchmark; Commission package reporting; Chips Act 2.0,"This covers physical compute infrastructure; accelerator supply also depends on the EUR 120bn semiconductor investment need. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.",Policy support may not quickly create competitive HBM supply; supply remains exposed to Asian memory leaders and export controls.,Chips annexes PDF; AI factories
AI datacenters,"Advanced packaging, chiplets and 3D integration",High: identified by industry analysis as a near-term structural gap for AI inference and heterogeneous integration.,"Packaging is now a core performance layer for AI accelerators, memory integration, and power efficiency.",First-of-a-Kind projects across whole value chain; Strategic Projects; existing APECS pilot line; high-priority strategic project for chiplet integration/advanced 3D packaging.,Critical,Medium to long,"Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity; EUR 20bn InvestAI facility for up to five AI Gigafactories; indicative EUR 3-5bn per AI Gigafactory. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",AI Continent; EC AI Gigafactories; Council AI Gigafactory document; Commission package reporting; Draghi digital benchmark; Commission package reporting; Chips Act 2.0,"This covers physical compute infrastructure; accelerator supply also depends on the EUR 120bn semiconductor investment need. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.",Industrial-scale capability may arrive later than the AI demand curve; pilot production for leading-edge integration may not be near-term.,EPRS briefing; EE Times analysis; Chips policy
AI datacenters,Leading-edge manufacturing nodes,High: Commission explicitly identifies continued dependence on third countries for advanced chip manufacturing.,"AI accelerators, networking ASICs and advanced processors require leading-edge manufacturing access.",First-of-a-Kind state-aid support; Strategic Projects; 12-month permitting target; strategic partnerships.,Critical,Long,"Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity; EUR 20bn InvestAI facility for up to five AI Gigafactories; indicative EUR 3-5bn per AI Gigafactory. Cross-cutting semiconductor base: approx. EUR 120bn public/private investment by 2035, including roughly EUR 30bn for a cutting-edge EU foundry.",AI Continent; EC AI Gigafactories; Council AI Gigafactory document; Commission package reporting; Draghi digital benchmark; Commission package reporting; Chips Act 2.0,"This covers physical compute infrastructure; accelerator supply also depends on the EUR 120bn semiconductor investment need. Hardware rows also depend on semiconductor value-chain investment, not only cloud/AI infrastructure spend.","Even with EU fabs, tooling, IP, yield learning, and customer commitment remain hard to localize quickly.",Chips proposal page; Chips policy
AI datacenters,"Data-centre energy, land, water and financing","High: CADA identifies long permitting plus limited access to energy, land and financing as barriers to scaling EU digital infrastructure.","More chips do not create AI capacity unless datacentres can be permitted, powered, cooled, financed and connected.",CADA capacity objective; streamlined deployment; improved energy/land/water/finance access; sustainable data-centre focus.,Critical,Immediate to medium,Approx. EUR 200bn by 2036 for cloud/AI data-centre capacity; EUR 20bn InvestAI facility for up to five AI Gigafactories; indicative EUR 3-5bn per AI Gigafactory.,AI Continent; EC AI Gigafactories; Council AI Gigafactory document; Commission package reporting; Draghi digital benchmark,This covers physical compute infrastructure; accelerator supply also depends on the EUR 120bn semiconductor investment need.,Grid constraints and sustainability requirements can become binding bottlenecks even if chip supply improves.,CADA policy; CADA proposal page
