sector,company,offering,description,revenue_basis,annualized_revenue_usd_m,revenue_as_of,growth_trajectory,valuation_usd_b,valuation_note,pricing_model,scale_metrics,token_metrics,confidence,in_sector_aggregate,source_ids
Coding & software development,Anthropic,Claude Code,"Agentic CLI coding agent: plans, edits, tests and iterates across a codebase",Tracked ARR (3rd-party estimate),15120,"Aug 10, 2026","$1B Nov 2025 -> $2.5B Feb 2026 (company-disclosed, Series G) -> ~$8B May 2026 (Sacra) -> $15.1B Aug 2026 (TickerTrends)",380,"Anthropic post-money, Feb 2026 Series G ($30B raise)",Subscription (Pro/Max) + API usage,~21.9% of Anthropic tracked ARR; avg developer ~20 hrs/week in tool; ~4% of global GitHub commits (SemiAnalysis),6.5-9.6T tokens/month routed via OpenRouter alone (app rankings snapshots),Tracked estimate (disclosed $2.5B Feb 2026),Yes,"3, 4, 5, 27, 28"
Coding & software development,OpenAI,Codex,Agentic coding agent (CLI/IDE/cloud) for autonomous software tasks,Tracked ARR (3rd-party estimate),8830,"Aug 10, 2026","Near zero start of 2026 -> $5.9B Jul 6, 2026 -> $8.8B Aug 10, 2026; ~44% of OpenAI enterprise ARR (central case)",,Part of OpenAI (IPO planned),Bundled with ChatGPT plans + API usage,5M+ weekly active users (Feb 2026); 20M WAU across OpenAI coding/work products (Aug 2026),~688B tokens/month via OpenRouter (87% on OpenAI models),Tracked estimate,Yes,"3, 30, 32, 28"
Coding & software development,Anysphere (SpaceX acq. pending),Cursor,AI-native code editor with agentic coding workflows,ARR,4000,May-Jun 2026,$100M Jan 2025 -> $500M Jun 2025 -> $1B Nov 2025 -> $2B Feb 2026 (Bloomberg) -> $4B May/Jun 2026 (Sacra),60,"SpaceX all-stock acquisition agreed Jun 16, 2026 (close Q3 2026); last private mark $29.3B Series D Nov 2025",$20-$200/mo subscriptions + enterprise seats; ~20% margin on model API costs; ~65% enterprise (~$2.6B),1M+ paying customers; used in 64% of Fortune 500,,Company-disclosed to $2B; analyst (Sacra) at $4B,Yes,"1, 2, 40"
Coding & software development,Microsoft (GitHub),GitHub Copilot,"AI pair programmer evolving into agentic coding (agent mode, usage-based billing)",ARR (analyst estimate),1000,Q2 FY26 (Jan 2026),Estimate range $900M-$1.1B (Axis); FT floor 'at least $550M'; Copilot revenue +60% QoQ in Q4 FY26 after usage-based billing launch,,Microsoft subsidiary (not separately valued),$10-$39/user/mo tiers + usage-based billing (introduced Q4 FY26),"4.7M paid subscribers (Jan 2026, +75% YoY); 50M users (Jul 2026); 90% of Fortune 100",,Analyst estimate (Microsoft does not disclose),Yes,"7, 36, 37"
Coding & software development,Replit,Replit Agent,Cloud IDE with autonomous app-building agent,ARR (analyst estimate),525,Mid-2026,Targeting $1B ARR by end of 2026,9,2026 private round,Effort-based agent pricing (usage) + subscriptions,,,Analyst estimate,Yes,8
Coding & software development,Cognition,Devin + Windsurf,"Autonomous software engineer (Devin) + agentic IDE (Windsurf, acquired 2025)",Annualized revenue (Sacra estimate),492,May 2026,$37M (2025) -> $492M May 2026 (~13x); targeting $1B by year-end,10.2,2026 private mark,ACU (agent compute unit) credits from $20 + multi-seat enterprise licenses,,,Analyst estimate (Sacra),Yes,"8, 11"
Coding & software development,Lovable,Lovable,Vibe-coding / text-to-app agent platform,ARR (reported),400,Feb 2026,$100M ARR within ~12 months of launch -> $400M Feb 2026,,,Subscription + usage,,,Press-reported,Yes,"8, 39"
Customer experience & support,Sierra,Sierra Agents,"Enterprise customer-service agents across chat, voice, email (Bret Taylor / Clay Bavor)",ARR (Sacra estimate),200,May 2026,$26M end-2024 -> $100M Nov 2025 (21 months from launch) -> $150M Feb 2026 -> $200M May 2026,15.8,May 2026 Series E ($950M),Outcome-based (~$1.50 per resolved interaction) + volume-based for routine flows,"Customers: SoFi, Ramp, Brex, Discord, Rivian, ADT, Cigna, SiriusXM; 50%+ of customers >$1B revenue",,Analyst estimate (Sacra),Yes,"9, 10, 39"
Customer experience & support,Decagon,Decagon AI Agents,AI customer-support agents for internet-native and consumer businesses,ARR (reported),100,2026 (crossed $100M),~$6M ARR late 2024 -> $100M+ 2026,,,Per-conversation pricing,"Customers: Duolingo, Notion, Webflow",,Press-reported,Yes,"9, 12, 39"
Customer experience & support,Wonderful AI,Wonderful,Customer-service agents focused on non-English markets,Not disclosed,,,Revenue 'growing'; $286M raised in 13 months,2,2026 private mark,,,,Not disclosed,No (revenue n/d),11
