SECTION,ITEM,DETAIL,VALUE / METRIC,TIMELINE,IMPLICATION FOR EU LLM LEADERSHIP

PROGRAMME OVERVIEW,Initiative Name,InvestAI Facility - AI Gigafactories (AIGF),"EUR 20bn total public-private partnership, the world's largest for AI",Announced Feb 2025; formal call Summer 2026,"Provides sovereign compute backbone for EU frontier model training and inference"
PROGRAMME OVERVIEW,Managing Entity,European High-Performance Computing Joint Undertaking (EuroHPC JU),"76 expressions of interest from 16 Member States across 60 sites",EuroHPC JU regulation amended Jan 2026,"Centralised coordination ensures pan-EU access; avoids fragmentation"
PROGRAMME OVERVIEW,Number of Facilities,"7-8 AI Gigafactories expected (up from original 4-5 target)","75,000+ advanced AI chips per facility (downscaled from original 100,000+)",Construction Phase 1: 2028; Phase 2: 2030,"More facilities means broader geographic access but potentially less concentrated compute per site"
PROGRAMME OVERVIEW,Total Compute Target,"525,000-600,000+ advanced AI accelerators across all Gigafactories","Equivalent to ~4-5x current total EuroHPC AI compute capacity",Fully operational 2030-2032,"If fully deployed, EU sovereign compute rivals a single major US hyperscaler's 2025 capacity - but US will have grown 5-10x by then"
PROGRAMME OVERVIEW,EU Contribution Cap,"17% of capital expenditure (CAPEX) per facility, or equivalent in guaranteed compute off-take","Member States must at least match EU contribution (17%+); remainder (~66%) from private sector",Per EuroHPC JU regulation (Jan 2026 amendment),"34% public funding de-risks private investment but still requires massive private capital mobilisation"
PROGRAMME OVERVIEW,Eligible CAPEX,"GPUs, CPUs, memory, storage, high-performance networking, racks, cooling, rack power, software","Does NOT cover physical building or general site utilities",,Focused on compute infrastructure rather than real estate reduces cost but still requires data centre shells

FUNDING BREAKDOWN,EU Budget Contribution (17% CAPEX),"~EUR 3.4bn (17% of EUR 20bn envelope)",EUR 3.4bn,2026-2032,"EU co-financing leverages 5:1 private money; EIB provides additional financing instruments"
FUNDING BREAKDOWN,Member State Matching (17%+),"~EUR 3.4-4bn from national budgets (RRF funds, Cohesion Funds, national budgets)",EUR 3.4-4bn,2026-2032,"Member States can use Recovery and Resilience Facility and Cohesion Fund money"
FUNDING BREAKDOWN,Private Sector Investment (~66%),"~EUR 13-14bn from consortia, banks, infrastructure funds",EUR 13-14bn,2026-2035,"Ardian's AION bid alone is EUR 10bn; signals strong private appetite"
FUNDING BREAKDOWN,Total InvestAI Envelope,EUR 20bn mobilised for AI Gigafactories,EUR 20bn,2025-2032,"World's largest public-private AI infrastructure partnership"
FUNDING BREAKDOWN,Existing AI Factories (2021-2027),"EUR 10bn total invested in EuroHPC supercomputers + 19 AI Factories","13 facilities selected; 9 new AI-optimised supercomputers; ~25,000 GPUs per largest factory",Operational by end 2025-2026,"Foundation layer; Gigafactories are 3-4x larger than biggest AI Factory"
FUNDING BREAKDOWN,Mistral / Campus AI (parallel private),"EUR 4bn+ Mistral infrastructure + Campus AI JV (Bpifrance/Nvidia/MGX) targeting 3 GW in France","200 MW Mistral capacity by 2027; 1.4 GW Campus AI pilot site",Construction H2 2026; operational 2028,"Private-led infrastructure moves faster than public programme; complements Gigafactories"
FUNDING BREAKDOWN,CADA Additional Investment,EUR 200bn total for cloud/AI data centres (mostly private) per CADA impact assessment,EUR 200bn,2026-2036,"Gigafactories are anchor projects within broader CADA data centre tripling plan"
FUNDING BREAKDOWN,Total EU AI Infrastructure Investment (est.),EUR 230bn+ cumulative through 2035 (EUR 20bn AIGF + EUR 10bn AI Factories + EUR 200bn CADA),EUR 230bn+,2021-2035,"Massive but still fraction of US private sector AI capex (~$300bn in 2026 alone)"

KNOWN BIDS & PROJECTS,AION Consortium (France),"Ardian, Artefact, Bull, Capgemini, EDF, Iliad/Scaleway, Orange","EUR 10bn; 200 MW initial (1 GW ultimate); 288,000 H100-equivalent GPUs",Bid submitted May 2026; decision expected Q4 2026,"Largest single-country bid; end-to-end EU stack (energy, cloud, AI, integration); Scaleway provides sovereign cloud layer"
KNOWN BIDS & PROJECTS,Spain (Telefonica-led),"Telefonica, ACS, Spanish government; site: Mora la Nova (Catalonia)","Multi-billion EUR bid; specifics not fully disclosed",Bid in preparation; formal submission 2026,"Spain's energy advantages (solar) and grid capacity attract AI infrastructure"
KNOWN BIDS & PROJECTS,Germany (Hochtief/Ionos-led),"Hochtief, Ionos (United Internet), research institutions","Multi-billion EUR bid; location TBD",Bid in preparation,"German industrial base and research ecosystem (Fraunhofer, DFKI) strengthen bid"
