company,as_of_date,tokens_per_minute,tokens_per_month_trillions,source_note
OpenAI,2023-10-01,300000000,13.1,"300M TPM cited by Altman at DevDay 2025 as the 2023 baseline; converted to monthly using 43,830 min/mo"
OpenAI,2024-06-01,1000000000,43.8,"Estimate (interpolation between 300M and 6B TPM)"
OpenAI,2024-12-01,2000000000,87.7,"Estimate (interpolation; coincides with $4B ARR exit)"
OpenAI,2025-06-01,4000000000,175.3,"Estimate (interpolation)"
OpenAI,2025-10-06,6000000000,263.0,"6B TPM disclosed at OpenAI DevDay 2025; matches ~260T/mo industry reports"
OpenAI,2026-03-01,15000000000,657.5,"15B TPM Q1 2026 (Happycapy / industry reports)"
Anthropic,2025-03-01,500000000,21.9,"Estimate (Claude API API call volume scaling with Claude 3.5 / 3.7 launches)"
Anthropic,2025-06-01,1000000000,43.8,"Estimate; mid-2025 ~25B API calls/mo (Claude AI Statistics)"
Anthropic,2025-09-30,3000000000,131.0,"Estimate ~5T tokens/day per Tunguz (~150T/mo); converted to TPM"
Anthropic,2025-12-01,4000000000,175.3,"Estimate; consistent with $9B ARR and gross-recorded scale"
Anthropic,2026-03-01,5000000000,219.2,"Estimate; consistent with $19-30B ARR ramp through cloud-mediated demand"
Google (reference),2025-05-01,,480.0,"480T tokens/mo May 2025 (Sundar Pichai / Q2 2025 earnings)"
Google (reference),2025-06-01,,980.0,"980T tokens/mo Jun 2025"
Google (reference),2025-07-01,,1300.0,"1.3 quadrillion tokens/mo Jul 2025 (1300T)"
Microsoft Foundry (reference),2025-04-01,,1.7,"~1.7T tokens/mo Apr 2025 (Microsoft Q3 FY25 earnings)"
Microsoft Foundry (reference),2025-06-01,,33.3,"100T processed in Q2 FY26 (~33T/mo); 50T in single record month"
Together.ai (reference),2025-09-15,,60.0,"~2T tokens/day Sep 2025 (Vipul VP) ≈ 60T/mo open-source inference"
OpenRouter (reference),2025-12-01,,8.3,"~100T tokens served in 2025; ~8T/mo average"
