date,server_count,source
2024-11-01,3,Anthropic launch announcement
2024-12-01,50,Early community tracking
2025-01-01,200,Glama directory / community estimates
2025-02-01,500,Glama directory / community estimates
2025-03-01,1200,Martin Alderson MCP tracker
2025-04-01,2500,Pulse MCP / community directories
2025-05-01,4000,Pulse MCP newsletter
2025-06-01,5867,Glama MCP server directory
2025-07-01,6200,DreamFactory / community estimates
2025-08-01,6400,Bloomberry analysis (425 company-operated)
2025-09-01,6550,Bloomberry / Asimov Addendum (2874 mapped)
2025-10-01,6700,DreamFactory tracking
2025-11-01,6878,DreamFactory (2200% growth in 13 months)
2025-12-01,7500,Community directory aggregation
2026-01-01,8500,Community directory aggregation
2026-02-01,9800,Bloomberry (1412 company-operated; 301 new in Feb)
2026-03-01,10500,Anthropic confirmed 10K+ public MCP servers
