model,developer,class,release_precision_qat,kld_measurable,kld_native_lossless_tier,kld_4bit_tier,kld_2bit_tier,notes,sources
Kimi K3,Moonshot AI,open-weights,Native MXFP4 weights + MXFP8 activations; QAT from the SFT stage (the 4-bit checkpoint IS the model - no higher-precision reference exists),Not yet - weights due 2026-07-27; nothing on HF as of 2026-07-22,~0 by construction (QAT native format),n/a - the native format is already 4-bit,Pending community quants (Unsloth gates sub-4-bit releases on measured KLD),"Expected to mirror DeepSeek V4 Flash: native MXFP4 experts repack bit-for-bit into GGUF (KLD ~0, 100% top-token agreement). ~1.4TB at MXFP4 vs ~5.6TB BF16-equivalent.",kimi.com/blog/kimi-k3; HF community analysis
Kimi K2.6 / K2.7,Moonshot AI,open-weights,"Native INT4 QAT for MoE weights, BF16 elsewhere (1T params)",Yes (weights public),UD-Q8_K_XL 'truly lossless' (KLD ~0; PPL 1.8419),UD-Q4_K_XL near-lossless: PPL 1.8420 vs 1.8419 lossless (584GB vs 595GB),"Dynamic 2-bit: PPL 2.4131 (340GB, -43% size); 1/3-bit uploads gated on KLD scores","Because MoE weights are already INT4-native, Q8 repack is bit-exact; only the BF16 non-expert tensors can degrade in smaller quants.",Unsloth Kimi K2.6 guide; unsloth/Kimi-K2.6-GGUF
DeepSeek V4 Flash,DeepSeek,open-weights,Native MXFP4 routed experts (96% of params) + FP8/BF16 rest; QAT (284B/13B),Yes - the best-measured KLD ladder of any frontier model (see ladder table below),"UD-Q8_K_XL: KLD ~0, 100% top-token agreement, all 1,328 tensors bit-identical to official weights",UD-Q4_K_XL mean KLD 0.0102 (96.3% top-token); bartowski MXFP4 0.0105; third-party imatrix Q4 0.0290-0.0291 (93.9%),"0.36-0.42 mean KLD, only ~78% top-token agreement (87-98GB) - the quality cliff",Canonical example of QAT killing the quantization tax at native precision; KLD only reappears in sub-4-bit community compressions.,"Unsloth DeepSeek-V4 guide (wikitext-2, ctx 512, 4x B200)"
DeepSeek V4 Pro,DeepSeek,open-weights,Same family: native MXFP4 experts + FP8 mixed (1.6T/49B),Yes (weights public),Native repack lossless by same mechanism as Flash,No published ladder (community measured Flash first),No published ladder,"Expect Flash-like profile; 1.6T scale makes full KLD runs expensive, so trackers prioritized Flash.",DeepSeek V4 HF card; Unsloth docs
GLM-5.2,Z.ai (Zhipu),open-weights,BF16/FP8 release (753B/40B); no QAT claimed,"Yes (weights public, MIT)",No first-party KLD published,Community GGUF quants follow the standard Unsloth Dynamic pattern; no headline KLD table published,Not published,"Without QAT, 4-bit quants carry the normal ~0.004-0.012 KLD format tax (see format table below) rather than ~0.",z.ai/blog/glm-5.2; community GGUF repos
MiniMax M3,MiniMax,open-weights,Open weights; MSA sparse-attention architecture,Yes (weights public),No KLD published,Not published,Not published,No first-party or major community KLD measurements found as of 2026-07-22.,M3 launch materials
NVIDIA Nemotron 3 Ultra,NVIDIA,open-weights,BF16 reference + NVFP4 post-training-quantized release (550B/55B),"Yes, but NVIDIA reports benchmark deltas instead of KLD",BF16 = reference (KLD 0 by definition),NVFP4 quality cost measured on benchmarks: AA Intelligence Index 48.2 -> 47.7; GPQA 87.0 -> 87.9; SWE-bench Verified 71.9 -> 69.7; Terminal-Bench 56.4 -> 53.9,Not published,"The PTQ (not QAT) counter-example: a real, measurable quality delta between precisions - exactly what QAT-native releases avoid.",NVIDIA model card (BF16 vs NVFP4 columns); AA launch article
Claude Fable 5,Anthropic,closed,Undisclosed (serving precision unknown),No - no weight access; API exposes no logprobs; no reference distribution exists for outsiders,Unmeasurable,Unmeasurable,Unmeasurable,Any internal quantization/distillation between training and serving is invisible; users cannot audit serving fidelity.,Anthropic API docs (no logprobs surface)
GPT-5.6 Sol,OpenAI,closed,Undisclosed,"No - no weights; API returns top-k logprobs only, and there is no full-precision reference to diverge from",Unmeasurable,Unmeasurable,Unmeasurable,"Top-k logprobs allow drift monitoring over time, but not KLD against a reference checkpoint.",OpenAI API docs
Qwen3.7 Max,Alibaba (Qwen),closed,Undisclosed (API-only tier),No - closed weights since late 2025 for the Max tier,Unmeasurable,Unmeasurable,Unmeasurable,"Alibaba's open Qwen3.x models are measurable (community GGUF KLD tables exist, e.g. Qwen3.6-27B used as the format reference below); the Max tier is not.",Qwen release notes
