agent,vendor,deployment_type,attribution_channel,commits_thru_oct2025_v2510,commits_dec2025_apr2026_v2604,trend,projects,alltime_attributed_units_aug2026,developer_adoption_may_jul_2026,notes,source_ids
Claude Code,Anthropic,CLI / in-editor (commits directly),Co-authored-by trailer + bot account (30x undercount if bot-only),850157,886122,+4%,"17,295",12.5M,"39% of devs worldwide (47% US), up from 18% Jan 2026; most-used tool for 31%","50% of all AI-attributed commits in V2604; ~4% of ALL public GitHub commits (SemiAnalysis, Feb 2026), projected 20%+ of daily commits by end-2026; near-absent from PR channel (1.4% of AIDev agentic PRs)","41, 42, 43, 4, 48"
GitHub Copilot (SWE agent),Microsoft (GitHub),PR-based cloud agent + IDE,Bot account / workflow; IDE Copilot is commit-silent (config-file detection only),1127201,,n/a (not in V2604 table),"85,739",3.8M,"21% of devs, down from 29% a year ago; 79% awareness","Largest agent in V2510 (2x Dependabot's volume); IDE Copilot appears in 92,276 projects via config files but <0.5% of commits - silent-agent undercount","41, 42, 43"
Replit Agent,Replit,Auto-commits generated code (no PRs),Message-signature template,312705,314779,+1% (flat),,,,Dominates explicit commit attribution among app-builder agents due to auto-commit workflow,"41, 42"
Google Jules,Google,Async cloud agent,Bot account / workflow,209911,215804,+3%,"16,924",,,Reached ~210K commits within nine months of launch,41
Aider,Open source,CLI pair-programmer,Author-name suffix '(aider)',195029,196132,+1% (flat),355 authors,,,Only 4 config files in the entire corpus - invisible without author-name scanning; skews to existing repos rather than greenfield,41
Devin (+ Windsurf),Cognition,Autonomous cloud engineer (PR + commit channels),Bot account (devin-ai-integration[bot]) + conventional commits,215998,98493,-54%,"7,050",256.4K,,"Uses both PR and commit channels (3,657 shared repos); V2604 window volume fell by half; 14.4% of AIDev agentic PRs","41, 42, 48"
CodeRabbit,CodeRabbit,Code-review agent,Bot account,297,34940,+117x,,,,Fastest-growing commit-attributed agent between snapshots (review-agent category emerging),41
OpenHands,All Hands AI,Open-source autonomous agent,Bot account,20863,25676,+23%,"1,022",,,Predominantly used in born-with-AI greenfield repositories,41
Codex,OpenAI,PR-based cloud agent,PR body marker (stopped appearing Nov 2025); no commit attribution,843,731,-13%,102,5.1M,"16% of devs, up from 3% Jan 2026; awareness 27% -> 65%","Mirror image of Claude Code: largest agent by PULL REQUESTS (814,522 in AIDev; 64.9% of agentic PRs) yet near-absent from commit data - commit census misses essentially all Codex adopters; all-time units undercounted since Nov 2025","41, 42, 43, 48"
Cursor (agent mode),Anysphere,IDE agent,None by default (commit-silent); .cursorrules config detection,0,,n/a,"28,909 (config)",,,"Zero attributed commits; 32,941 PRs in AIDev (4.6% of agentic PRs); a major example of attribution undercounting silent agents","41, 48"
Dependabot (control),GitHub,Non-LLM dependency bot (baseline),Bot account,475379,,n/a,"44,731",,,Non-AI control baseline active since 2017; Copilot SWE agent alone now exceeds 2x its cumulative volume,41
(Ecosystem) All AI agents,-,-,-,,1772677,-,"315,426 projects",27.1M (all agents),,1.77M commit-attributed AI commits in Dec 2025-Apr 2026; >320K AI commits/month by mid-2025 (from 75K in Dec 2024); AI share of non-bot commits in adopting projects: 1.6% (Dec 2025) -> 6.7% (Mar 2026),"41, 42"
(Ecosystem) Agentic PR mix,-,-,-,,,-,,,,"AIDev-pop (Oct 2025) agentic PR share: Codex 64.9%, Copilot 14.8%, Devin 14.4%, Cursor 4.6%, Claude Code 1.4% - PR and commit censuses capture nearly disjoint agent populations",48
