model,developer,class,total_params_b,pretraining_tokens_t,tokens_per_total_param,disclosure_status,notes,sources
Kimi K3,Moonshot AI,open-weights,2800,,,"Undisclosed (tech report due with weights, 2026-07-27)","Pipeline disclosed without quantities: web+code+vision pretraining, long-context mid-training toward 1M, SFT, RLVR. Predecessor Kimi K2 (1T params) disclosed 15.5T tokens, so K3's corpus is presumably well beyond that; treat any specific figure circulating now as an estimate.",kimi.com/blog/kimi-k3; Kimi K2 paper (arXiv:2507.20534)
Kimi K2 / K2.6,Moonshot AI,open-weights,1000,15.5,15.5,Disclosed for K2 base (K2.6/K2.7 increments not broken out),"15.5T curated tokens across web text, code, mathematics, knowledge; MuonClip optimizer, 4,096-token pretraining window.",Kimi K2 paper (arXiv:2507.20534)
Claude Fable 5,Anthropic,closed,,,,Undisclosed,Anthropic discloses neither corpus size nor parameter count for any frontier model.,Fable 5 system card (no training-data quantities)
GPT-5.6 Sol,OpenAI,closed,,,,Undisclosed,"OpenAI stopped disclosing training-data scale after GPT-3 (300B tokens, 2020). gpt-oss open-weight models also ship without a precise token count ('trillions of tokens').",GPT-5.6 launch materials (no training-data quantities)
Gemini 3.x,Google,closed,,,,Undisclosed,No corpus quantities disclosed for the Gemini series.,Gemini model cards
GLM-5 / 5.1 / 5.2,Z.ai (Zhipu),open-weights,753,27,35.9,"Disclosed (GLM-5 base, which 5.1/5.2 build on)",27T-token corpus prioritizing code and reasoning early; distinct mid-training phase extends context 4K->200K with long-context agentic data.,GLM-5 paper (arXiv:2602.15763)
DeepSeek V4 Pro,DeepSeek,open-weights,1600,32,20.0,"Disclosed ('more than 32T tokens', shared corpus with Flash)",Agentic tool-use data injected already in mid-training; FP8-mixed pretraining with MXFP4 on expert weights.,DeepSeek-V4 report (arXiv:2606.19348)
DeepSeek V4 Flash,DeepSeek,open-weights,284,32,112.7,"Disclosed ('more than 32T tokens', shared corpus with Pro)",Same >32T corpus as V4 Pro; the small variant is heavily over-trained relative to its size (~113 tokens per param).,DeepSeek-V4 report (arXiv:2606.19348)
Qwen3.7 Max,Alibaba (Qwen),closed,,,,Undisclosed (closed tier),Alibaba disclosed 36T tokens for the open Qwen3 generation (2025) but publishes no quantities for the closed Max tier.,Qwen3 technical report (2025); Qwen3.7 launch blog
Nemotron 3 (Nano/Super/Ultra),NVIDIA,open-weights,,25,,Disclosed AND largely released - the only lab that ships much of the corpus itself,"25T tokens in two phases (23.5T diverse + 1.5T high-quality) + 121B long-context phase; 16 data categories. ~8-10T tokens (~40-50% of the blend) released as open datasets (Nemotron-CC-v2.x, CC-Math, Pretraining-Code, Specialized). Documented for Nano/Super; Ultra follows the same data program.",NVIDIA Nemotron 3 pretraining docs + Nano tech report; HF Nemotron pretraining dataset collections
MiMo-V2.5,Xiaomi,open-weights,310,48,154.8,Disclosed - largest disclosed corpus of any model here,"~48T tokens, FP8 mixed precision, five-stage pipeline (text pretraining, projector warmup, multimodal pretraining, SFT/agentic post-training with 32K->256K->1M context extension, RL+MOPD). ~155 tokens per param - the most over-trained large model on this list.",XiaomiMiMo/MiMo-V2.5 HF card; mimo.xiaomi.com
Hy3,Tencent,open-weights,295,,,Undisclosed,"295B/21B MoE (192 experts, top-8 routing); Tencent's model card discusses post-training scale-up but no corpus count.",Tencent Hy3 model card; SiliconFlow explainer
MiniMax M3,MiniMax,open-weights,,,,Undisclosed,No corpus size published for M3; total params also not officially stated (third-party estimates ~200-400B).,M3 launch materials
Llama 4 Scout,Meta,open-weights,109,40,367.0,Disclosed (2025),~40T multimodal tokens - highest tokens-per-param ratio here (~367x); 10M-token context via iRoPE.,Meta Llama 4 launch blog (2025)
Llama 4 Maverick,Meta,open-weights,400,22,55.0,Disclosed (2025),~22T multimodal tokens.,Meta Llama 4 launch blog (2025)
