Vendor,HQ country,EU-27?,Latest revenue,FY,Focus area
Thales,France,Yes,Group EUR 20.6 bn; Cyber & Digital EUR 4.024 bn,2024,"Encryption, data security (Imperva), identity, critical infra"
Atos / Eviden,France,Yes,Part of Atos group (restructuring),2024,"Managed security, consulting, SOC"
Bitdefender,Romania,Yes,Private (est. ~USD 600m+),2024,"Endpoint, consumer + enterprise"
ESET,Slovakia,Yes,EUR 691 m,2024,"Endpoint, MDR; +9% YoY"
WithSecure,Finland,Yes,Group EUR 147.4 m,2024,"Cloud protection, MDR (B2B)"
F-Secure,Finland,Yes,Consumer security (split from WithSecure),2024,Consumer security
Stormshield,France,Yes,Subsidiary of Airbus Defence,2024,"NGFW, sovereign firewall"
Telefonica Tech,Spain,Yes,Part of Telefonica,2024,Managed security services
Orange Cyberdefense,France,Yes,Part of Orange,2024,"MSSP, threat intel"
CY4GATE,Italy,Yes,Listed (small-cap),2024,"Cyber intelligence, decision intel"
Sophos,UK,No (UK),Private (Thoma Bravo),2024,"Endpoint, firewall, MDR"
Darktrace,UK,No (UK),"Private (Thoma Bravo, ~USD 800m ARR)",2024,AI-driven detection & response
NCC Group,UK,No (UK),Listed,2024,Security consulting/testing
Kudelski Security,Switzerland,No (CH),Part of Kudelski,2024,"MSSP, advisory"
