agent_type_workload,metric,value,as_of,context_notes,source_ids
All agent types (router-wide),Share of tokens routed through reasoning-optimized models,>50% of all OpenRouter tokens (vs ~0% in early Q1 2025),Late 2025,"Measures tokens served by reasoning models, not reasoning tokens within outputs; driven by agent-style workflows (GPT-5, Claude 4.5, Gemini 3 era)",26
All agent types (router-wide),Top reasoning models by token volume,"xAI Grok Code Fast 1 #1, then Gemini 2.5 Pro, Gemini 2.5 Flash, Grok 4 Fast, gpt-oss-120b",Late 2025,Code-oriented reasoning models lead the category; rapid model turnover,26
All agent types (router-wide),Completion-token growth per request,"~3x increase, mostly due to reasoning tokens",2025,Reasoning tokens are billed inside completion tokens; programming workloads drive prompt growth (routinely >20K input tokens/request),26
Coding agents (multi-agent SWE),Reasoning share of task tokens,21.6% reasoning / 53.9% input / 24.4% output,Jan 2026 (study),ChatDev framework + GPT-5 across 30 real development tasks,"44, 45"
Coding agents (multi-agent SWE),Reasoning tokens per task,"17,280-40,000 reasoning tokens per software task",Jan 2026 (study),"400K context window, 128K max output configuration","44, 45"
Coding agents (multi-agent SWE),Token consumption by SDLC stage,Code review 59.4% of all tokens; code completion 26.8%; initial coding 8.6%; design 2.4%,Jan 2026 (study),"Cost sits in automated refinement/verification, not initial generation","44, 45"
Coding agents (multi-agent SWE),Reasoning intensity by stage,Initial coding ~35% reasoning; code review ~23%; documentation ~6%,Jan 2026 (study),Generative stages are reasoning-heavy; analysis stages are input-heavy (documentation 80.2% input),"44, 45"
Coding agents (single-agent loops),Token mix by operation,Reading/navigating code 76.1%; executing/testing 12.1%; editing 11.8%,2026,SWE-Pruner measurements on real agent workloads; agents mostly re-read the codebase,46
Coding agents (single-agent loops),Input-token dominance,Input >90-99% of trajectory volume; input:output ratio >150:1,2026,Stateless loops re-send accumulated context every roundtrip; 99% of Claude 4 Sonnet's ~100B tokens/day on OpenRouter (Sep 2025) were input,47
Coding agents vs chat,Total token multiplier,"~1,000x tokens vs a single-turn chat request",2026,Third-party token-economics research,"23, 47"
Multi-agent systems vs chatbot,Token multiplier,Up to 15x tokens vs a chatbot request,2026,Anthropic estimate; consistent with OpenRouter's ~15x agentic-vs-human per-request measurement,"23, 25"
Coding agents (task outcomes),Failed vs successful task consumption,Unresolved tasks: 697.7K tokens / 12.95 tool calls avg; resolved: 258.7K / 7.2 (2.7x gap),2026 (study),No positive correlation between token spend and success; failing patches trap agents in edit-test-read loops. Latest scaffold versions average ~668K tokens/task,50
Configuration reference,Reasoning-effort budget mapping,'low' ~20% of max_tokens for thinking; 'high' ~80%,2026,OpenRouter API reasoning.effort parameter; reasoning tokens billed as output,26
