company,model,release_date,max_context_window_tokens
OpenAI,GPT-1,2018-06-11,512
OpenAI,GPT-2,2019-02-14,1024
OpenAI,GPT-3,2020-06-11,4096
OpenAI,GPT-3.5,2022-11-30,4096
OpenAI,GPT-4,2023-03-14,8192
OpenAI,GPT-4 (32K),2023-03-14,32768
OpenAI,GPT-3.5-turbo-16k,2023-06-13,16384
OpenAI,GPT-4 Turbo,2023-11-06,128000
OpenAI,GPT-4o,2024-05-13,128000
OpenAI,GPT-4.1,2025-04-14,1000000
OpenAI,GPT-5.4,2026-03-05,1050000
Anthropic,Claude 1,2023-03-14,9000
Anthropic,Claude Instant 100K,2023-05-11,100000
Anthropic,Claude 2,2023-07-11,100000
Anthropic,Claude 2.1,2023-11-21,200000
Anthropic,Claude 3 Opus,2024-03-04,200000
Anthropic,Claude 3.5 Sonnet,2024-06-20,200000
Anthropic,Claude 3.5 Sonnet v2,2024-10-22,200000
Anthropic,Claude 4 Sonnet,2025-05-22,200000
Anthropic,Claude Opus 4.6,2026-03-10,1000000
Google,Gemini 1.0 Pro,2023-12-06,32000
Google,Gemini 1.5 Pro,2024-02-15,1000000
Google,Gemini 1.5 Pro (2M),2024-06-27,2000000
Google,Gemini 2.0 Flash,2024-12-11,1000000
Google,Gemini 2.5 Pro,2025-03-25,1000000
Google,Gemini 3 Pro,2025-12-10,1000000
Meta,LLaMA 1,2023-02-24,2048
Meta,LLaMA 2,2023-07-18,4096
Meta,LLaMA 3,2024-04-18,8192
Meta,LLaMA 3.1,2024-07-23,128000
Meta,LLaMA 4 Maverick,2025-04-05,1000000
Meta,LLaMA 4 Scout,2025-04-05,10000000
xAI,Grok 1,2023-11-04,8192
xAI,Grok 1.5,2024-03-28,128000
xAI,Grok 2,2024-08-13,131072
xAI,Grok 3,2025-02-17,1000000
xAI,Grok 4.1,2025-11-15,2000000
xAI,Grok 4.20,2026-03-15,2000000
Cursor,cursor-small,2024-06-01,60000
Cursor,Composer 2,2026-03-19,200000
