Metric,Amount_Bn,As_Of,Notes
Cash and Cash Equivalents and Marketable Securities,81.6,Dec 31 2025,
Long-Term Debt,58.7,Dec 31 2025,
Operating Lease Liabilities (Current),2.2,Dec 31 2025,
Operating Lease Liabilities (Non-Current),22.9,Dec 31 2025,
Total Operating Lease Liabilities,25.2,Dec 31 2025,Increased from $20.2B at Dec 31 2024
Full Year 2025 Revenue,201.0,FY 2025,+22% YoY
Full Year 2025 Operating Cash Flow,115.8,FY 2025,
Full Year 2025 Free Cash Flow,43.6,FY 2025,
Full Year 2025 Capital Expenditures,72.2,FY 2025,Includes finance lease principal payments
Renewable Energy PPAs,16.5,Mid-2024 filing,Majority due beyond 5 years
Non-Cancelable Purchase Obligations,17.1,Mid-2024 filing,Servers and network infrastructure; pre-neocloud contracts
