quarter,openai_arr_M,anthropic_arr_M,google_cloud_ai_est_M,microsoft_azure_ai_M,meta_llama_ad_ai_est_M,mistral_ai_M,cohere_M,xai_grok_M,deepseek_M,aws_bedrock_ai_est_M,total_llm_arr_M,notes
2022-Q1,0,0,200,100,500,0,0,0,0,0,800,Pre-ChatGPT era; minimal commercial LLM revenue
2022-Q2,0,0,250,120,600,0,0,0,0,0,970,
2022-Q3,0,0,300,150,700,0,0,0,0,0,1150,
2022-Q4,3,0,350,200,800,0,0,0,0,0,1353,ChatGPT launches Dec 2022; OpenAI $3.5M annual rev
2023-Q1,15,0,400,300,1000,0,0,0,0,0,1715,ChatGPT reaches 100M users in 2 months
2023-Q2,50,0,500,500,1200,0,0,0,0,0,2250,GPT-4 launched Mar 2023
2023-Q3,100,10,650,800,1500,0,10,0,0,0,3070,"OpenAI >$80M/mo Aug; Anthropic ~$100M ARR Sep; Claude 2"
2023-Q4,400,100,800,1200,2000,0,20,0,0,50,4570,"OpenAI $1.3B ARR Oct, $1.6B Dec; GPT-4 Turbo"
2024-Q1,600,150,1000,2000,3000,0,30,0,0,100,6880,"OpenAI scaling; Claude 3 launched Mar; Gemini 1.0"
2024-Q2,850,250,1300,3000,4000,0,50,0,0,200,9650,OpenAI $3.4B ARR Jun; multi-model competition
2024-Q3,1300,400,1800,4000,5000,5,70,0,0,400,12975,Claude 3.5 Sonnet Jun; Llama 3.1 Jul
2024-Q4,1800,700,2500,4700,7000,10,100,25,10,600,17445,"OpenAI ~$6B ARR YE; Anthropic $1B ARR Dec; o1 reasoning model"
2025-Q1,3500,1000,3500,6000,10000,20,120,50,50,1000,25240,"OpenAI o1 adoption; Claude 3.5; DeepSeek R1 Jan; Gemini 2.0"
2025-Q2,5000,2000,5000,8000,13000,50,150,75,100,1500,34875,Anthropic scaling rapidly; MCP adopted by OpenAI
2025-Q3,8500,4000,7000,10000,16000,150,200,107,200,2500,48657,"Anthropic $4B ARR Jul; Mistral €300M ARR Sep; xAI $107M Q3"
2025-Q4,12700,9000,10000,13000,20000,300,240,200,500,4000,69940,"OpenAI $20B ARR YE; Anthropic $9B ARR Dec; DeepSeek $1.1B annual"
2026-Q1,20000,19000,15000,18000,25000,400,300,500,800,6000,105000,"OpenAI $25B ARR Feb; Anthropic $19B ARR Mar; total LLM ARR crosses $100B"
