model,developer,class,first_party_harness,third_party_harness_compatibility,builtin_tools,input_modalities,function_calling,parallel_tool_calls,structured_outputs,reasoning_controls,context_tokens,weekly_tokens,notes
MoonshotAI: Kimi K3,Moonshot AI,open-weights,Kimi Code CLI; Kimi.com / Kimi Work apps; K3 Swarm Max orchestrator (up to 300 parallel sub-agents),"Claude Code, Cursor, OpenClaw via Anthropic/OpenAI-compatible API - but requires preserved thinking history (verified harnesses only; no mid-session model switches)","Web search/fetch, terminal, code execution, vision-in-the-loop (live screenshots), video editing, Widgets + Dashboard in Kimi Work; MCP",image+text,True,False,True,True,1048576,12051888516,"Weights live on HF since 2026-07-27 (96 shards, ~99K downloads in 2 days); day-0 vLLM support with Moonshot-contributed KDA prefix caching."
MoonshotAI: Kimi K2.6,Moonshot AI,open-weights,"Kimi CLI; native Agent Swarm (300 sub-agents, 4,000 steps)","Claude Code, OpenClaw, Cline (Anthropic/OpenAI-compatible)","Web search, terminal, code execution, swarm orchestration; MCP; one of only two models here exposing parallel tool calls on OpenRouter",image+text,True,True,True,True,262144,295806133970,Apache-2.0-style open weights available now; HLE-with-tools 54.0 led all frontier models at release.
Anthropic: Claude Fable 5,Anthropic,closed,Claude Code (CLI + SDK) - the industry reference harness; Claude Cowork for knowledge work,"Anthropic API only; broad ecosystem targets it (Cursor, OpenClaw, Cline all speak Anthropic protocol)","Memory tool, code execution, computer use, web search, programmatic tool calling, context editing / tool-result clearing, compaction, task budgets (beta); MCP. Adaptive thinking always on (effort parameter); no assistant prefill",file+image+text,True,False,True,True,1000000,375285408732,Safety classifiers can reroute cyber/bio/distillation requests to Opus 4.8 (fallback affects <5% of sessions per Anthropic).
Anthropic: Claude Sonnet 5,Anthropic,closed,Claude Code; Claude.ai apps,Anthropic API ecosystem (same as Fable 5),"Same Claude tool suite: memory tool, code execution, computer use, web search, compaction; MCP",file+image+text,True,False,True,True,1000000,936723011167,Mid-tier workhorse at intro pricing ($2/$10 through Aug 2026).
OpenAI: GPT-5.6 Sol,OpenAI,closed,"Codex suite: CLI, Cloud, VS Code extension, App Server (JSON-RPC); ChatGPT agent surfaces",Responses API; community proxies run it inside Claude Code (some report it codes better there - model/harness entanglement debate),"Web search, code interpreter, file search, computer use (OSWorld 2.0 SOTA 62.6%), subagent orchestration (Sol as orchestrator over Terra/Luna; config bug openai/codex#31814), automatic compaction; MCP",file+image+text,True,False,True,True,1050000,411249519808,Models explicitly tuned for the Codex harness; ~25h uninterrupted runs reported.
OpenAI: GPT-5.5,OpenAI,closed,Codex suite (previous flagship),Responses API ecosystem,"Web search, code interpreter, file search, computer use; MCP",file+image+text,True,False,True,True,1050000,677882959419,Superseded by GPT-5.6 family for agentic work.
Z.ai: GLM 5.2,Z.ai (Zhipu),open-weights,None of its own - by design. GLM Coding Plan ($3-80/mo) plugs into third-party harnesses,"Claude Code (Anthropic-native API), OpenClaw, Cline, Cursor; drop-in config documented by Z.ai",Function calling with parallel tool calls; dynamic working-memory management for thousands-of-tool-call sessions; MCP,text,True,True,True,True,1048576,3515340760024,Strongest open-weights MCP Atlas score (82.6 on Moonshot's table; 77.0 per Z.ai's own blog).
DeepSeek: DeepSeek V4 Pro,DeepSeek,open-weights,None - dual-mode OpenAI + Anthropic-compatible API,"Codex-style and Claude Code-style harnesses both work; popular in Kilo Code, OpenClaw, aggregators",Function calling via new XML-based DSML schema (replaces JSON); three reasoning modes (non-think/high/max); MCP,text,True,False,True,True,1048576,2473441480536,"Agentic tool-use data injected in mid-training, not just post-training."
DeepSeek: DeepSeek V4 Flash,DeepSeek,open-weights,None - same dual-mode API as V4 Pro,Same as V4 Pro; the default budget model in many third-party coding agents,Same DSML function calling and reasoning modes; MCP,text,True,False,True,True,1048576,5240398974088,Highest real-world tool-call volume of any paid model on OpenRouter (~70M calls/week).
MiniMax: MiniMax M3,MiniMax,open-weights,MiniMax Agent product; no dedicated CLI,OpenAI/Anthropic-compatible API,"Native computer use (only open model here with it), video input in tool workflows, function calling; MCP; 24h autonomous runs with ~2,000 tool calls reported",image+text+video,True,False,True,True,1048576,3951536497593,Multimodal agent focus (text+image+video input).
