quarter,google_daily_T,openai_daily_T,anthropic_daily_T,meta_llama_daily_T,aws_daily_T,deepseek_chinese_oss_daily_T,other_daily_T,total_daily_T,notes
2022-Q1,0.003,0.002,0,0,0.001,0,0.004,0.010,"Pre-ChatGPT; GPT-3/Codex API; Google internal AI"
2022-Q2,0.003,0.002,0,0,0.001,0,0.004,0.010,
2022-Q3,0.005,0.005,0,0,0.002,0,0.008,0.020,
2022-Q4,0.008,0.010,0,0,0.003,0,0.012,0.033,ChatGPT launches Dec 2022
2023-Q1,0.015,0.025,0,0,0.005,0,0.005,0.050,ChatGPT reaches 100M users
2023-Q2,0.030,0.050,0.001,0,0.008,0,0.011,0.100,GPT-4 Mar; Claude 1 launch
2023-Q3,0.040,0.080,0.003,0.005,0.012,0.002,0.020,0.162,"Llama 2 Jul; Bard scaling"
2023-Q4,0.060,0.150,0.005,0.010,0.020,0.005,0.030,0.280,"GPT-4 Turbo; Claude 2; open-source growth"
2024-Q1,0.100,0.250,0.010,0.020,0.030,0.010,0.030,0.450,"Claude 3 Mar; Gemini 1.0 Dec; multi-model era"
2024-Q2,0.200,0.350,0.020,0.040,0.050,0.020,0.040,0.720,"Google ~480T/mo May; broad competition"
2024-Q3,0.350,0.450,0.040,0.060,0.080,0.030,0.060,1.070,"Google ~950T/mo Jun; Llama 3.1 doubles usage"
2024-Q4,0.550,0.700,0.080,0.100,0.120,0.050,0.100,1.700,"Google 1.3Q/mo Oct; o1 reasoning Dec; DeepSeek V3"
2025-Q1,0.900,1.200,0.150,0.150,0.200,0.100,0.150,2.850,"DeepSeek R1 Jan; OpenAI o1 scaling; agentic inference"
2025-Q2,1.500,1.800,0.250,0.250,0.300,0.200,0.200,4.500,"Agentic inference surges; MCP drives tool calls"
2025-Q3,2.200,2.700,0.400,0.400,0.500,0.400,0.300,6.900,"OpenAI 8.6T/day Oct; Google 10B tokens/min Q4; Together 2T/day"
2025-Q4,3.500,4.500,0.700,0.800,0.800,0.800,0.500,11.600,"Reasoning models >50% of tokens; enterprise scale"
2026-Q1,6.500,8.000,1.200,1.500,1.300,1.500,0.800,20.800,"GPT-5.4 5T/day alone; quadrillion-token era; 97M MCP downloads/mo"
